round,candidate,raw_pearson,raw_spearman,interaction_pearson,interaction_spearman
20,Legacy,-0.4049840389639729,-0.3937953795379538,-0.03663982476332714,-0.007692769276927693
20,GAD,-0.4052080099231219,-0.41674167416741675,-0.03367679409305536,-0.0032283228322832285
20,R,-0.08433950673293139,-0.20847284728472848,0.09190077000331,0.033663366336633666
20,AdaptedLoss,-0.4090647716893015,-0.41995799579957993,-0.03371486141146292,-0.0018721872187218722
20,GOnly,-0.4052710142303408,-0.4165856585658566,-0.03359955876470831,-0.002436243624362436
40,Legacy,0.30083450350812924,0.41753375337533755,-0.03427480570102641,0.21287728772877287
40,GAD,0.291315693868068,0.40855685568556854,-0.05835259604949451,0.22003000300030004
40,R,0.1590441192036808,0.355031503150315,-0.029065628506984062,0.15054305430543055
40,AdaptedLoss,0.29105475668827846,0.40585658565856586,-0.05832436887391272,0.2197899789978998
40,GOnly,0.2913691300070533,0.409012901290129,-0.058408978220113025,0.22053405340534055
120,Legacy,0.06525411255633817,0.11768376837683768,-0.058941302073719094,-0.050513051305130514
120,GAD,0.051811527956416005,0.10405040504050406,-0.08936530268535685,-0.06432643264326432
120,R,-0.10026442371802738,-0.01810981098109811,-0.007860993545159846,-0.02279027902790279
120,AdaptedLoss,0.05288970387491644,0.10325832583258326,-0.08935566366137333,-0.06432643264326432
120,GOnly,0.05157978618581624,0.10309030903090309,-0.08938454624345252,-0.06357035703570357
160,Legacy,0.019301411456028972,0.2798919891989199,-0.10336587049359645,-0.07073507350735074
160,GAD,-0.003227198215635859,0.2886888688868887,-0.00656510011063021,0.017845784578457844
160,R,0.04540773896638131,0.154023402340234,-0.0506370824891615,-0.15535553555355536
160,AdaptedLoss,-0.0027188493810933623,0.29248124812481247,-0.006444545869215114,0.017845784578457844
160,GOnly,-0.0032365563679934016,0.2886888688868887,-0.006806314082664146,0.017845784578457844
