round,client_id,task_id,global_loss,reset_loss,adapted_loss,G,A,D,C,probe_seed,support_hash,query_hash
20,9,0,2.4013404846191406,2.4252567291259766,18.070398330688477,-15.6451416015625,-15.669057846069336,15.669057846069336,-0.0014751809236522274,2309031,4e59092c79600084a8d9c9b168a4261020603bd543563b2c3d3dfa731718a243,917d331ee5b77fdb518cb69fae1b42d7b6460679b09f1fef234bed40004527c6
20,9,1,2.4013404846191406,2.477919340133667,49.90711212158203,-47.429192781448364,-47.50577163696289,47.50577163696289,0.00032517041811746974,2309031,4e59092c79600084a8d9c9b168a4261020603bd543563b2c3d3dfa731718a243,917d331ee5b77fdb518cb69fae1b42d7b6460679b09f1fef234bed40004527c6
20,9,2,2.4013404846191406,2.443512439727783,105.02840423583984,-102.58489179611206,-102.6270637512207,102.6270637512207,-0.0010860144001210536,2309031,4e59092c79600084a8d9c9b168a4261020603bd543563b2c3d3dfa731718a243,917d331ee5b77fdb518cb69fae1b42d7b6460679b09f1fef234bed40004527c6
20,9,3,2.4013404846191406,2.430124044418335,36.810462951660156,-34.38033890724182,-34.409122467041016,34.409122467041016,-0.000543177969275508,2309031,4e59092c79600084a8d9c9b168a4261020603bd543563b2c3d3dfa731718a243,917d331ee5b77fdb518cb69fae1b42d7b6460679b09f1fef234bed40004527c6
20,9,4,2.4013404846191406,2.4209816455841064,44.5766487121582,-42.1556670665741,-42.17530822753906,42.17530822753906,0.0017262464625435354,2309031,4e59092c79600084a8d9c9b168a4261020603bd543563b2c3d3dfa731718a243,917d331ee5b77fdb518cb69fae1b42d7b6460679b09f1fef234bed40004527c6
20,9,5,2.4013404846191406,2.78395676612854,43.823978424072266,-41.040021657943726,-41.422637939453125,41.422637939453125,-0.0012203590386053703,2309031,4e59092c79600084a8d9c9b168a4261020603bd543563b2c3d3dfa731718a243,917d331ee5b77fdb518cb69fae1b42d7b6460679b09f1fef234bed40004527c6
20,9,6,2.4013404846191406,2.6357576847076416,66.22103881835938,-63.58528113365173,-63.819698333740234,63.819698333740234,0.0031553581722948577,2309031,4e59092c79600084a8d9c9b168a4261020603bd543563b2c3d3dfa731718a243,917d331ee5b77fdb518cb69fae1b42d7b6460679b09f1fef234bed40004527c6
20,9,7,2.4013404846191406,2.1353774070739746,30.777999877929688,-28.642622470855713,-28.376659393310547,28.376659393310547,-0.0030911164257435243,2309031,4e59092c79600084a8d9c9b168a4261020603bd543563b2c3d3dfa731718a243,917d331ee5b77fdb518cb69fae1b42d7b6460679b09f1fef234bed40004527c6
20,9,8,2.4013404846191406,2.677776575088501,65.16570281982422,-62.48792624473572,-62.76436233520508,62.76436233520508,0.0003371230975415163,2309031,4e59092c79600084a8d9c9b168a4261020603bd543563b2c3d3dfa731718a243,917d331ee5b77fdb518cb69fae1b42d7b6460679b09f1fef234bed40004527c6
20,9,9,2.4013404846191406,2.2425999641418457,15.751230239868164,-13.508630275726318,-13.349889755249023,13.349889755249023,-0.0033092600382461945,2309031,4e59092c79600084a8d9c9b168a4261020603bd543563b2c3d3dfa731718a243,917d331ee5b77fdb518cb69fae1b42d7b6460679b09f1fef234bed40004527c6
20,17,0,1.7232590913772583,1.6486343145370483,27.924964904785156,-26.276330590248108,-26.201705813407898,26.201705813407898,0.001901231184192493,2317007,c387399755a36bcf15af2e4366cfb357b7090c1611ba0a0893307af6b41d8300,5657c50676e3bbf9cb39cbdc314994984342222f81dfa8225a6fb78f71a394eb
20,17,1,1.7232590913772583,1.616934061050415,76.35065460205078,-74.73372054100037,-74.62739551067352,74.62739551067352,0.00039910159566547215,2317007,c387399755a36bcf15af2e4366cfb357b7090c1611ba0a0893307af6b41d8300,5657c50676e3bbf9cb39cbdc314994984342222f81dfa8225a6fb78f71a394eb
20,17,2,1.7232590913772583,2.014925003051758,26.60552406311035,-24.590599060058594,-24.882264971733093,24.882264971733093,0.005876736026147277,2317007,c387399755a36bcf15af2e4366cfb357b7090c1611ba0a0893307af6b41d8300,5657c50676e3bbf9cb39cbdc314994984342222f81dfa8225a6fb78f71a394eb
20,17,3,1.7232590913772583,1.4157153367996216,31.359939575195312,-29.94422423839569,-29.636680483818054,29.636680483818054,0.0035304280716472627,2317007,c387399755a36bcf15af2e4366cfb357b7090c1611ba0a0893307af6b41d8300,5657c50676e3bbf9cb39cbdc314994984342222f81dfa8225a6fb78f71a394eb
