round,client_id,task_id,global_loss,reset_loss,adapted_loss,G,A,D,C,gradient_norm,delta_norm,alignment_valid,probe_seed,support_hash,query_hash,task_hash
1,80,0,3.106905460357666,3.0760581493377686,3.1431756019592285,-0.06711745262145996,-0.0362701416015625,0.0362701416015625,0.002205686680493693,3.186175971502148,15.431840963869103,True,479761,861c9947801c9772b536e56a66dbd092fa4e006a5bb424e5be819d94dfce378d,4719b46364da14e1d70736be0b9b9feaa37af45c99e41ef07a4b706e522c271b,5819d85e27ce2802c70d1dc05aae1e784069455873808840b7a934502697bbfb
1,80,1,3.106905460357666,3.1060054302215576,3.3899526596069336,-0.283947229385376,-0.2830471992492676,0.2830471992492676,0.002861656938818481,2.5788033677178657,15.485883121904656,True,479761,861c9947801c9772b536e56a66dbd092fa4e006a5bb424e5be819d94dfce378d,4719b46364da14e1d70736be0b9b9feaa37af45c99e41ef07a4b706e522c271b,b6d52bd716389341b3d3a9928d0df713465678fdd6d1a08766a188c1144849ce
1,80,2,3.106905460357666,2.9108352661132812,3.1882951259613037,-0.27745985984802246,-0.0813896656036377,0.0813896656036377,-0.00033947759866154766,3.491661733292551,15.447643380784278,True,479761,861c9947801c9772b536e56a66dbd092fa4e006a5bb424e5be819d94dfce378d,4719b46364da14e1d70736be0b9b9feaa37af45c99e41ef07a4b706e522c271b,9cff9fd285f061891d5b1cb6616ad7826bbefde42baabf0c7cea16f3ef9bac60
1,80,3,3.106905460357666,3.191737174987793,3.2889468669891357,-0.09720969200134277,-0.18204140663146973,0.18204140663146973,0.0023237265330908878,3.839275977668962,15.50540600059142,True,479761,861c9947801c9772b536e56a66dbd092fa4e006a5bb424e5be819d94dfce378d,4719b46364da14e1d70736be0b9b9feaa37af45c99e41ef07a4b706e522c271b,089d03cd634d83644fbb15b717e244be71cf87b754c4de7d6efb3d86eaa7634e
1,80,4,3.106905460357666,3.103957414627075,3.2598633766174316,-0.15590596199035645,-0.15295791625976562,0.15295791625976562,0.0006292091890834881,3.3646963253867384,15.497548981500348,True,479761,861c9947801c9772b536e56a66dbd092fa4e006a5bb424e5be819d94dfce378d,4719b46364da14e1d70736be0b9b9feaa37af45c99e41ef07a4b706e522c271b,a0f3f6b183a723a18a280e0ad66a0d239e142f34450cde1a5afd4a76d43af12a
1,80,5,3.106905460357666,3.293125629425049,3.237119197845459,0.056006431579589844,-0.13021373748779297,0.13021373748779297,0.0018804965976081587,3.8657403318992216,15.499367001430587,True,479761,861c9947801c9772b536e56a66dbd092fa4e006a5bb424e5be819d94dfce378d,4719b46364da14e1d70736be0b9b9feaa37af45c99e41ef07a4b706e522c271b,dfea0a90d0d7a2ac0b82246d18940c994176c77080ac06044f8dca5edc07d60d
1,80,6,3.106905460357666,2.9689555168151855,3.4894673824310303,-0.5205118656158447,-0.38256192207336426,0.38256192207336426,0.0016674519426270991,2.907328485683939,15.498380570393822,True,479761,861c9947801c9772b536e56a66dbd092fa4e006a5bb424e5be819d94dfce378d,4719b46364da14e1d70736be0b9b9feaa37af45c99e41ef07a4b706e522c271b,12058dcc015cf096a0022f54a0dc66f1418a485962094c544a80b65e1cdd5086
1,80,7,3.106905460357666,3.0835633277893066,3.0926804542541504,-0.00911712646484375,0.014225006103515625,0.0,0.0031897520307921164,3.1547230317787456,15.484318718719047,True,479761,861c9947801c9772b536e56a66dbd092fa4e006a5bb424e5be819d94dfce378d,4719b46364da14e1d70736be0b9b9feaa37af45c99e41ef07a4b706e522c271b,b41cbc62c853919fde9a0a7a37bd397e259e2d4c7266da47a3e935ca6566f707
1,80,8,3.106905460357666,3.418020248413086,2.911351203918457,0.5066690444946289,0.19555425643920898,0.0,0.007450517747444503,3.6594060159517063,15.486274941177498,True,479761,861c9947801c9772b536e56a66dbd092fa4e006a5bb424e5be819d94dfce378d,4719b46364da14e1d70736be0b9b9feaa37af45c99e41ef07a4b706e522c271b,a530b357ad08f0fa98a8d1a2afa85495c38feccdc2619abb6c26829b78a9a9ec
1,80,9,3.106905460357666,3.210404872894287,3.350564479827881,-0.14015960693359375,-0.24365901947021484,0.24365901947021484,0.005659133843187354,4.162793364176188,15.453828986564561,True,479761,861c9947801c9772b536e56a66dbd092fa4e006a5bb424e5be819d94dfce378d,4719b46364da14e1d70736be0b9b9feaa37af45c99e41ef07a4b706e522c271b,06d7f844f996f0066d7cbc9ea324dc63d62782c0ec201c6fcc11ccb60879a6f9
1,84,0,2.5970804691314697,2.642426013946533,1.6371595859527588,1.0052664279937744,0.9599208831787109,0.0,0.005260686195405507,1.7282732002944527,15.431840963869103,True,483749,67f1af47db74edf3e96a01993c07d32d9ce91b2c61b825d3cce364fe36f886c1,b8bfa13fa0c04797fe298808f6c3a26365acbe10b76becd8752524af78080e68,5819d85e27ce2802c70d1dc05aae1e784069455873808840b7a934502697bbfb
1,84,1,2.5970804691314697,2.647189140319824,1.668445348739624,0.9787437915802002,0.9286351203918457,0.0,0.00392984406541812,1.7384490205857908,15.485883121904656,True,483749,67f1af47db74edf3e96a01993c07d32d9ce91b2c61b825d3cce364fe36f886c1,b8bfa13fa0c04797fe298808f6c3a26365acbe10b76becd8752524af78080e68,b6d52bd716389341b3d3a9928d0df713465678fdd6d1a08766a188c1144849ce
1,84,2,2.5970804691314697,2.6058969497680664,1.6069042682647705,0.9989926815032959,0.9901762008666992,0.0,0.00238434637179498,2.534547503274396,15.447643380784278,True,483749,67f1af47db74edf3e96a01993c07d32d9ce91b2c61b825d3cce364fe36f886c1,b8bfa13fa0c04797fe298808f6c3a26365acbe10b76becd8752524af78080e68,9cff9fd285f061891d5b1cb6616ad7826bbefde42baabf0c7cea16f3ef9bac60
1,84,3,2.5970804691314697,2.674534797668457,1.6685333251953125,1.0060014724731445,0.9285471439361572,0.0,0.0028785926198499445,2.3451196448426783,15.50540600059142,True,483749,67f1af47db74edf3e96a01993c07d32d9ce91b2c61b825d3cce364fe36f886c1,b8bfa13fa0c04797fe298808f6c3a26365acbe10b76becd8752524af78080e68,089d03cd634d83644fbb15b717e244be71cf87b754c4de7d6efb3d86eaa7634e
1,84,4,2.5970804691314697,2.600982189178467,1.5026631355285645,1.0983190536499023,1.0944173336029053,0.0,0.0035717655011821255,2.0073820041741066,15.497548981500348,True,483749,67f1af47db74edf3e96a01993c07d32d9ce91b2c61b825d3cce364fe36f886c1,b8bfa13fa0c04797fe298808f6c3a26365acbe10b76becd8752524af78080e68,a0f3f6b183a723a18a280e0ad66a0d239e142f34450cde1a5afd4a76d43af12a
1,84,5,2.5970804691314697,2.5864500999450684,1.493949055671692,1.0925010442733765,1.1031314134597778,0.0,0.0002529940766630905,2.4316698530624645,15.499367001430587,True,483749,67f1af47db74edf3e96a01993c07d32d9ce91b2c61b825d3cce364fe36f886c1,b8bfa13fa0c04797fe298808f6c3a26365acbe10b76becd8752524af78080e68,dfea0a90d0d7a2ac0b82246d18940c994176c77080ac06044f8dca5edc07d60d
1,84,6,2.5970804691314697,2.5246033668518066,1.699118733406067,0.8254846334457397,0.8979617357254028,0.0,0.004309131726213693,1.3531162104972603,15.498380570393822,True,483749,67f1af47db74edf3e96a01993c07d32d9ce91b2c61b825d3cce364fe36f886c1,b8bfa13fa0c04797fe298808f6c3a26365acbe10b76becd8752524af78080e68,12058dcc015cf096a0022f54a0dc66f1418a485962094c544a80b65e1cdd5086
1,84,7,2.5970804691314697,2.6976470947265625,1.574876070022583,1.1227710247039795,1.0222043991088867,0.0,0.00681793040800899,2.176515890056493,15.484318718719047,True,483749,67f1af47db74edf3e96a01993c07d32d9ce91b2c61b825d3cce364fe36f886c1,b8bfa13fa0c04797fe298808f6c3a26365acbe10b76becd8752524af78080e68,b41cbc62c853919fde9a0a7a37bd397e259e2d4c7266da47a3e935ca6566f707
1,84,8,2.5970804691314697,2.751335620880127,1.621662974357605,1.129672646522522,0.9754174947738647,0.0,0.010411337968840301,2.3198529618234756,15.486274941177498,True,483749,67f1af47db74edf3e96a01993c07d32d9ce91b2c61b825d3cce364fe36f886c1,b8bfa13fa0c04797fe298808f6c3a26365acbe10b76becd8752524af78080e68,a530b357ad08f0fa98a8d1a2afa85495c38feccdc2619abb6c26829b78a9a9ec
1,84,9,2.5970804691314697,2.690441608428955,1.7289936542510986,0.9614479541778564,0.8680868148803711,0.0,0.005253222788344863,2.964384720811021,15.453828986564561,True,483749,67f1af47db74edf3e96a01993c07d32d9ce91b2c61b825d3cce364fe36f886c1,b8bfa13fa0c04797fe298808f6c3a26365acbe10b76becd8752524af78080e68,06d7f844f996f0066d7cbc9ea324dc63d62782c0ec201c6fcc11ccb60879a6f9
1,33,0,2.632310390472412,2.6540603637695312,1.259905219078064,1.3941551446914673,1.3724051713943481,0.0,0.0011244165871192966,2.3885131269363167,15.431840963869103,True,432902,3632127460c607da6e6f72374966278e2e1ce115f73ff5269a96ce01a8db800c,2d9b5d19ef21bf04eb900dfcf42daeef41bd556aab6bebef9806affae02dcc7f,5819d85e27ce2802c70d1dc05aae1e784069455873808840b7a934502697bbfb
1,33,1,2.632310390472412,2.6234993934631348,1.32879638671875,1.2947030067443848,1.303514003753662,0.0,-0.00024968387641931283,2.263308995736779,15.485883121904656,True,432902,3632127460c607da6e6f72374966278e2e1ce115f73ff5269a96ce01a8db800c,2d9b5d19ef21bf04eb900dfcf42daeef41bd556aab6bebef9806affae02dcc7f,b6d52bd716389341b3d3a9928d0df713465678fdd6d1a08766a188c1144849ce
1,33,2,2.632310390472412,2.6570749282836914,1.2080247402191162,1.4490501880645752,1.424285650253296,0.0,0.0030220239482944495,2.6906973707127824,15.447643380784278,True,432902,3632127460c607da6e6f72374966278e2e1ce115f73ff5269a96ce01a8db800c,2d9b5d19ef21bf04eb900dfcf42daeef41bd556aab6bebef9806affae02dcc7f,9cff9fd285f061891d5b1cb6616ad7826bbefde42baabf0c7cea16f3ef9bac60
1,33,3,2.632310390472412,2.651191234588623,1.3173514604568481,1.333839774131775,1.314958930015564,0.0,0.0017269325136880077,2.029682497498456,15.50540600059142,True,432902,3632127460c607da6e6f72374966278e2e1ce115f73ff5269a96ce01a8db800c,2d9b5d19ef21bf04eb900dfcf42daeef41bd556aab6bebef9806affae02dcc7f,089d03cd634d83644fbb15b717e244be71cf87b754c4de7d6efb3d86eaa7634e
1,33,4,2.632310390472412,2.723017692565918,1.319390892982483,1.403626799583435,1.3129194974899292,0.0,0.006572768966923612,2.0230469604512615,15.497548981500348,True,432902,3632127460c607da6e6f72374966278e2e1ce115f73ff5269a96ce01a8db800c,2d9b5d19ef21bf04eb900dfcf42daeef41bd556aab6bebef9806affae02dcc7f,a0f3f6b183a723a18a280e0ad66a0d239e142f34450cde1a5afd4a76d43af12a
1,33,5,2.632310390472412,2.7762291431427,1.312960147857666,1.4632689952850342,1.319350242614746,0.0,0.003802062864686937,2.148834492791731,15.499367001430587,True,432902,3632127460c607da6e6f72374966278e2e1ce115f73ff5269a96ce01a8db800c,2d9b5d19ef21bf04eb900dfcf42daeef41bd556aab6bebef9806affae02dcc7f,dfea0a90d0d7a2ac0b82246d18940c994176c77080ac06044f8dca5edc07d60d
1,33,6,2.632310390472412,2.7136638164520264,1.2580244541168213,1.455639362335205,1.3742859363555908,0.0,0.004600329873524127,1.6916381458051823,15.498380570393822,True,432902,3632127460c607da6e6f72374966278e2e1ce115f73ff5269a96ce01a8db800c,2d9b5d19ef21bf04eb900dfcf42daeef41bd556aab6bebef9806affae02dcc7f,12058dcc015cf096a0022f54a0dc66f1418a485962094c544a80b65e1cdd5086
1,33,7,2.632310390472412,2.6578617095947266,1.331187129020691,1.3266745805740356,1.3011232614517212,0.0,0.0028896484198574213,2.805675607243196,15.484318718719047,True,432902,3632127460c607da6e6f72374966278e2e1ce115f73ff5269a96ce01a8db800c,2d9b5d19ef21bf04eb900dfcf42daeef41bd556aab6bebef9806affae02dcc7f,b41cbc62c853919fde9a0a7a37bd397e259e2d4c7266da47a3e935ca6566f707
1,33,8,2.632310390472412,2.844179630279541,1.351675033569336,1.492504596710205,1.2806353569030762,0.0,0.006614065590792618,2.9612324360460733,15.486274941177498,True,432902,3632127460c607da6e6f72374966278e2e1ce115f73ff5269a96ce01a8db800c,2d9b5d19ef21bf04eb900dfcf42daeef41bd556aab6bebef9806affae02dcc7f,a530b357ad08f0fa98a8d1a2afa85495c38feccdc2619abb6c26829b78a9a9ec
