round,Clean,Full-All,Full-Warm40,Full-Warm80,G-Warm40
144,64.42,65.63,62.78,62.29,66.65
145,68.69,69.34,68.38,67.51,68.28
146,67.44,66.69,68.32,67.16,67.44
147,58.65,60.7,56.57,58.6,55.37
148,70.27,69.49,69.57,68.67,69.18
149,52.85,55.84,58.81,58.03,58.14
150,67.17,66.23,65.89,66.37,65.65
151,62.93,62.29,63.19,61.08,62.7
152,65.49,66.17,65.62,65.73,65.01
153,69.55,70.8,70.19,69.61,69.61
154,66.7,65.96,67.95,67.49,66.06
155,51.18,49.46,47.96,52.49,49.88
156,65.13,64.05,64.83,64.35,65.31
157,67.27,67.9,68.18,67.5,67.92
158,69.92,70.07,71.07,70.08,70.1
159,60.9,62.22,63.02,64.24,62.76
160,72.02,72.0,71.56,70.47,71.47
161,63.55,64.42,63.72,63.94,62.77
162,64.86,66.85,65.15,65.52,66.15
163,70.47,71.75,70.18,70.99,71.03
164,72.93,73.77,73.86,73.95,74.32
165,68.41,67.65,68.69,67.87,66.53
166,67.51,68.21,67.68,67.47,67.37
167,70.33,69.77,69.13,69.62,70.02
168,69.13,69.7,68.89,68.06,69.42
169,67.84,69.29,68.91,67.51,67.49
170,69.55,69.03,69.61,69.77,69.25
171,68.27,68.85,67.83,67.64,68.38
172,62.49,55.25,63.28,53.53,61.87
173,66.38,67.34,67.42,67.0,68.13
174,68.28,68.41,68.42,68.69,68.45
175,73.81,74.44,74.53,73.91,74.48
176,67.61,68.46,67.56,67.04,68.06
177,67.34,67.32,66.94,65.94,63.56
178,67.27,66.77,66.69,67.25,65.81
179,66.51,69.66,67.5,68.01,66.97
180,69.47,69.01,70.51,70.95,70.31
181,66.6,66.28,66.03,65.49,65.75
182,66.94,67.34,67.18,66.54,67.21
183,70.14,71.66,71.54,70.21,71.26
184,71.97,72.58,72.35,72.21,73.46
185,66.8,68.56,67.87,65.9,65.5
186,66.58,66.42,67.48,66.46,64.92
187,70.82,70.35,71.18,71.11,69.59
188,72.95,73.17,72.02,72.78,72.81
189,71.62,71.87,71.68,70.76,70.56
190,62.12,66.57,64.0,67.08,68.08
191,70.53,68.5,51.62,68.02,54.88
192,72.83,73.26,73.38,73.56,72.5
193,72.44,72.33,71.55,71.52,71.46
194,66.23,67.37,66.55,67.37,65.48
195,66.94,67.45,66.81,66.71,66.04
196,58.37,56.79,60.84,66.47,65.79
197,69.01,67.75,68.7,68.86,68.71
198,60.51,62.49,60.2,62.73,63.26
199,70.74,71.02,70.37,70.18,69.42
200,71.49,71.65,72.04,71.9,72.89
