round,accuracy,Gamma,hungarian_score,baseline_score,changed_pairs,changed_fraction,assignment_margin,margin_per_K,margin_per_Q_std,Q_std,Q_interaction_std,probe_seconds,reliability_probe_seconds,formal_training_seconds,matching_seconds,peak_gpu_memory_bytes,G_mean,G_std,G_interaction_std,A_mean,A_std,A_interaction_std,D_mean,D_std,D_interaction_std,C_mean,C_std,C_interaction_std,D_positive_ratio
1,10.13,0.4622159903021862,4.622159903021862,1.6308066287192675,9,0.9,0.0029740930754664774,0.00029740930754664776,0.0009576725912176139,3.105542648646888,0.40677586622225814,53.774870699999155,99.56181549999746,33.66849579999689,0.0006301999965216964,403261440,0.1987515652179718,1.1621841659658527,0.1616241736828641,0.1747517204284668,1.1519853253906887,0.12600483877854274,0.32376731872558595,0.9048893010536204,0.11241443133524297,0.0028172042807967923,0.0031638618503498197,0.0019254459602015854,0.23
2,17.44,0.7758631707374806,7.758631707374805,4.933655765061492,8,0.8,0.027043552843494467,0.0027043552843494466,0.009950299567992215,2.717863181776682,1.3972044538444663,45.45961140000145,0.0,37.31564179999987,0.0003521000035107136,403261440,0.8513761192560196,0.6574606236378759,0.20122077228077323,0.8583276218175888,0.6437847036128311,0.1834565150613298,0.028014764785766602,0.16089235605488358,0.13015612217866468,-0.00047978256139696943,0.00531165353864952,0.003004848458533509,0.05
3,21.09,1.124482084080656,11.24482084080656,3.38409491329101,10,1.0,0.12212347406583213,0.012212347406583213,0.03923658503737733,3.112489885383643,1.4038533423343487,44.43537730000389,0.0,35.47165160000441,0.0005597999988822266,403261440,-0.08686759412288665,1.8448839802369972,0.8071245226637429,-0.08914135754108429,1.8234622877014501,0.7860732974247542,0.709038052558899,1.4708977135056573,0.7786375190902984,-0.0015803873944158977,0.0076646904323909235,0.003418238258854102,0.32
4,17.95,1.2052086083227063,12.052086083227064,2.017211635237345,9,0.9,0.06239553713447421,0.006239553713447421,0.020450020504975665,3.051123450917462,1.2704712665765754,44.14756149999448,0.0,34.69303639999998,0.000563900000997819,403261440,-0.4267493391036987,1.9024412950310512,0.7889021615573987,-0.46487297654151916,1.8767344757683084,0.8143885068891888,0.8203650534152984,1.6488338713810013,0.743745561943261,0.003649549915807707,0.00906439987799371,0.004124413525660526,0.47
5,24.2,0.9222550091132226,9.222550091132225,-0.9827724242814079,10,1.0,0.10340823762653173,0.010340823762653172,0.03386975541724812,3.0531143893017676,0.8420774711447465,44.12124069999845,92.63224740000442,35.43197099999816,0.00045340000360738486,403261440,-49.53519311070442,60.81476319317813,17.515803804862394,-49.47694102883339,60.833796408647345,17.546275292324967,49.497731313705444,60.8168056985703,17.545799740174704,-0.004982392331521171,0.007363446859001795,0.0038615945603704665,0.93
6,25.3,1.6546272250249152,16.546272250249153,-6.314274832417682,8,0.8,0.06940336650596635,0.006940336650596635,0.022240964904076663,3.120519582009908,1.4157846102587395,48.93561369999952,0.0,36.070600400009425,0.0005624999903375283,403261440,-6.769631286263466,8.624566863484652,4.034744988889891,-6.734647976756096,8.627799839051805,4.078765754439506,6.786230353116989,8.584197825021798,4.0553875262106125,0.0003169032575023425,0.007359190870835894,0.003314064797021476,0.94
7,26.99,1.0083649604303258,10.083649604303258,-2.0282556777546907,10,1.0,0.044354933030570365,0.0044354933030570365,0.014478283958251417,3.063549047557652,0.8149866751965809,50.5480719999905,0.0,39.00957589999598,0.0005778000049758703,403261440,-46.37184911251068,59.69013764354619,16.380076787219334,-46.43252338290215,59.75023564833714,16.448768634210957,46.45093922019005,59.7357354817789,16.438086407801904,-0.0018426926221981796,0.005880134913697646,0.003855759845959923,0.97
8,24.86,1.1319165305486512,11.31916530548651,-3.5548326839542588,8,0.8,0.09972285243277135,0.009972285243277135,0.03200351504190362,3.11599686166347,1.2477356156351478,46.96813480000128,0.0,36.514309799997136,0.0005842000100528821,403261440,-43.27112778782845,71.96714719765619,30.177363452907144,-43.38215810894966,72.00732068414692,30.25854508753316,43.40630838394165,71.9926744026192,30.26304582844859,0.0017517858758935086,0.006511179778095076,0.0035494402458618258,0.94
9,29.78,1.3259237660553385,13.259237660553385,0.08996664651039152,10,1.0,0.13193530648970508,0.013193530648970508,0.04267301869294246,3.0917734561751407,1.151426155721323,49.7361103999865,0.0,37.08553640000173,0.0005792000010842457,403261440,-58.00685242652893,75.70756235950698,29.613513672705402,-57.980162368416785,75.75270761897275,29.64817668004018,58.00927373886108,75.72985773771474,29.656178394996648,-0.0014564380594395965,0.006387088955993532,0.0036297042282536643,0.99
10,32.39,1.703355016132606,17.033550161326062,-0.3908303471770642,9,0.9,0.12110215238940825,0.012110215238940824,0.04003208361266342,3.025127384353778,1.4917987290576498,50.11298390000593,99.42443800000183,35.40636110000196,0.0005682999908458441,403261440,-50.55928363800049,44.657159890260054,22.393730064056662,-50.598139383792876,44.70961524246877,22.444498577751247,50.598139383792876,44.70961524246877,22.444498577751247,-0.0012403977169643235,0.005171764505030672,0.0030885099732593235,1.0
