round,accuracy,Gamma,hungarian_score,baseline_score,changed_pairs,changed_fraction,assignment_margin,margin_per_K,margin_per_Q_std,Q_std,Q_interaction_std,probe_seconds,reliability_probe_seconds,formal_training_seconds,matching_seconds,peak_gpu_memory_bytes,G_mean,G_std,G_interaction_std,A_mean,A_std,A_interaction_std,D_mean,D_std,D_interaction_std,C_mean,C_std,C_interaction_std,D_positive_ratio
1,10.1,0.5888543348254813,5.888543348254814,3.124594911580243,7,0.7,0.0913902217402347,0.00913902217402347,0.030006152498215633,3.0457160992456256,0.413009135984727,48.375994399990304,94.77252119999321,35.08010940000531,0.00038330000825226307,406814720,0.6090510761737824,0.9649953553657505,0.13819559201230175,0.5812557065486907,0.9561359669491608,0.10244391468557444,0.20675838232040405,0.49236475457739104,0.07998942748320244,0.003005641851237576,0.003080020302762113,0.0018040109278549521,0.2
2,17.74,0.7143713612451923,7.143713612451923,4.363319521351967,9,0.9,0.006453431566784573,0.0006453431566784574,0.0023316883257262656,2.7677076286662294,1.1917616110044533,48.85149040000397,0.0,37.400786899990635,0.0005829000001540408,404193792,0.9493907451629638,0.7401979275034439,0.16890679752211968,0.9494181847572327,0.740466689208097,0.16001889367913363,0.03991182327270508,0.18730535195594666,0.13664567656863003,-0.0005943675608559716,0.005487552540884684,0.003347097122136111,0.08
3,20.45,0.8205239061543755,8.205239061543756,4.065647197002532,7,0.7,0.03577178896530775,0.003577178896530775,0.011462179645859435,3.1208539798300796,1.7206812510310356,52.94857599999523,0.0,33.062020099998335,0.0005634000117424875,404193792,-0.5647654175758362,3.8925971366910215,2.1561619439162607,-0.574412249326706,3.8474100528279425,2.1436091850281906,1.167698380947113,3.6207397870932594,2.13195846413976,-0.0012164651951891772,0.007936575145067534,0.003525639261501396,0.33
4,18.34,0.4629270745422476,4.629270745422476,2.97485856027723,7,0.7,0.04660290036819159,0.004660290036819159,0.015026525280831472,3.1013757004515474,0.5885985410132049,49.74405430001207,0.0,34.11333380000724,0.0005689999961759895,404193792,-0.4965996330976486,3.4597919247208835,0.6693948387495009,-0.5259136968851089,3.4141499521637826,0.6723917312582125,1.0852203786373138,3.1824574838491477,0.6289534830868279,0.001327654808632844,0.00847370219732877,0.003749599476694655,0.25
5,25.87,1.0285899751898973,10.285899751898972,-2.5929598968919985,10,1.0,0.06605880891774873,0.006605880891774873,0.02174055933326139,3.0385054912862253,0.8826123414659243,51.88715080000111,0.0,39.332552799998666,0.0005715000006603077,404193792,-44.23422225832939,51.01973725715129,15.38459575452236,-44.237801696062085,51.06138620017178,15.424226645866746,44.31043801069259,50.99790189893073,15.443254695958892,-0.00413064057313715,0.006364676479038899,0.003569588020937686,0.83
6,25.94,1.7608664876173599,17.6086648761736,-2.1891664327027307,10,1.0,0.0046900151634616805,0.00046900151634616806,0.0015074432452130335,3.111238302572965,1.5582749286904467,47.628919199996744,0.0,34.03214090000256,0.0005754000012530014,404193792,-6.486408870220185,8.214866749696874,4.161742441095233,-6.540476062297821,8.180453326994908,4.242112842152933,6.565343254804612,8.159334810745271,4.240262496167483,0.0017999275144943744,0.008307764995709071,0.0036637888101554777,0.92
7,28.7,0.8793810660348887,8.793810660348887,-0.8008689326337441,8,0.8,0.17754353806439482,0.01775435380643948,0.05807850115497211,3.056957988475832,0.8139473315160557,46.521649200003594,0.0,42.1028529000032,0.00041900000360328704,404193792,-46.4081225836277,85.23819446428989,23.67535188479037,-46.441216661930085,85.31776868056109,23.727137701396256,46.48208544015884,85.29518115478308,23.722078238769218,-0.0012170602634872332,0.005659338252107657,0.003699259634216232,0.95
8,26.0,1.0203384371949844,10.203384371949845,-5.160103305882271,9,0.9,0.06360514544052975,0.006360514544052976,0.020522144931260606,3.0993419865991907,1.1192083360554976,49.12083649999113,0.0,39.5402052999998,0.00034330000926274806,404193792,-58.16930341720581,112.53719371370902,43.13122032214897,-58.37293210506439,112.62424801815547,43.19453267327089,58.373191459178926,112.62411356517323,43.19475747948287,0.003473799336766125,0.005860570106596561,0.0031224903556548167,0.99
9,31.32,1.3409600706616616,13.409600706616615,0.7233988897992162,10,1.0,0.12026077550707548,0.012026077550707549,0.03918033959851668,3.0694163639058503,1.2131656877451846,50.96276769999531,0.0,40.20876929999213,0.0005746000097133219,404193792,-61.35570930838585,80.394451308204,33.04542292274806,-61.41416439652443,80.47696051581222,33.123421361964425,61.438430947065356,80.45829684241339,33.110373434186826,-0.0004820200691124242,0.006160165838007785,0.003957177279637664,0.97
10,32.85,1.4074238148215523,14.074238148215523,-1.5387654888314986,10,1.0,0.04841986558876599,0.004841986558876599,0.01582633000969706,3.0594500152024073,1.346460887617421,51.32235980000405,101.69769190000079,31.99571480001032,0.0005655999993905425,404193792,-34.98595563769341,33.06508098908861,15.037530667402555,-35.08497140884399,33.11661889880975,15.116053628945318,35.08497140884399,33.11661889880975,15.116053628945318,-0.00023320788800965106,0.004676176001720063,0.002604503101244583,1.0
11,33.33,1.7639126783148609,17.63912678314861,5.858147765610381,9,0.9,0.222545214123695,0.0222545214123695,0.07207042829345138,3.0878852726884154,1.7028566446946236,46.46899480000138,0.0,31.24720840000373,0.0005846999993082136,404193792,-48.369873317480085,58.053515435941556,33.75037351655154,-48.53885946512222,58.09014550939612,33.81665510859851,48.54479655623436,58.08515374763529,33.815212536746984,0.0017162267277043145,0.006266211529833943,0.003956517193487821,0.99
12,34.3,1.1521348679538583,11.521348679538583,3.0224393250429853,10,1.0,0.0659299644219491,0.0065929964421949094,0.02176980021545476,3.0285057175280947,1.0420830903452587,47.8554540000041,0.0,34.005875300004845,0.0005600000004051253,404193792,-44.547115216255186,38.69351802649258,13.969448426853194,-44.638654766082766,38.7520426119856,14.021097611650578,44.638654766082766,38.7520426119856,14.021097611650578,0.0005395516625553626,0.004384820032276521,0.002581251283984487,1.0
13,32.29,0.6103322164760951,6.103322164760952,0.8403161508840125,10,1.0,0.018057545496304783,0.0018057545496304784,0.0059187450027207425,3.050907834009414,0.8771752795466089,49.112789499995415,0.0,38.5870464000036,0.00034240000240970403,404193792,-184.72737745404243,472.3374406390537,141.58753536928356,-184.90004402041436,472.4172329427718,141.6590989486314,184.909979763031,472.4133336096618,141.65820821981836,0.0001965714149193569,0.004601865912693016,0.003210790255118788,0.99
14,36.4,1.0570459086372088,10.570459086372088,-3.408716887636565,9,0.9,0.2112140363631383,0.02112140363631383,0.0695194547086647,3.0382004181171056,1.5164676138486934,49.00941979998606,0.0,36.62459760000638,0.0005620000010821968,404193792,-155.40247141599656,192.79971270962739,97.87210516244853,-155.52597797870635,192.80551519401294,97.91314419561841,155.52597797870635,192.80551519401294,97.91314419561841,0.00021901587178047423,0.0058181795792562755,0.0030325873419970524,1.0
15,34.61,2.3169428673149586,23.169428673149586,0.7216548659671715,10,1.0,0.43513995347440115,0.04351399534744012,0.14749775189624512,2.950146343793045,1.695666580202784,48.969680700000026,0.0,36.22746750000806,0.0005643000040436164,404193792,-67.11109855115414,53.51412468560386,31.147806622539846,-67.37373155593872,53.61161358124796,31.2308578490729,67.37373155593872,53.61161358124796,31.2308578490729,0.0027676304787239785,0.0050444246290245204,0.0032323206542981195,1.0
16,37.3,1.7927049219688604,17.927049219688605,4.0585098269001145,9,0.9,0.03734717331047577,0.0037347173310475767,0.011987255719375286,3.1155732541945063,1.4254772083334832,52.004343200009316,0.0,35.044321800000034,0.0005933000065851957,404193792,-77.8130878174305,59.05767444881819,27.644057243038702,-78.0828822851181,58.99016642406368,27.600515973574687,78.0828822851181,58.99016642406368,27.600515973574687,0.003944119682637151,0.005593900343212191,0.003287263172174927,1.0
17,33.42,1.8841748705644021,18.841748705644022,-3.6811287963605084,10,1.0,0.1276027142466134,0.012760271424661341,0.04118419826701109,3.0983415876963742,1.3989579053656387,46.97355399999651,0.0,33.124553300003754,0.0006426000036299229,404193792,-70.19636603355407,44.4948805866849,21.102948006499126,-70.36601362228393,44.531920878012606,21.139021020423904,70.36601362228393,44.531920878012606,21.139021020423904,0.0011089425165544816,0.0030351200651130713,0.0022509245614386305,1.0
18,41.59,1.2535573324946565,12.535573324946565,4.320398277550841,10,1.0,0.01865752547227295,0.0018657525472272952,0.0062269797924322905,2.9962399259666177,1.2123305591688982,47.1274429000041,0.0,35.44681470000069,0.0005728999967686832,404193792,-66.12843093276024,60.101931010516566,23.543249234449622,-66.3520308828354,60.177992015370776,23.542115367436416,66.3520308828354,60.177992015370776,23.542115367436416,0.0018348969260393551,0.0033215435172118395,0.0020170845379539836,1.0
19,37.58,1.3085584103901404,13.085584103901404,-3.252835460612397,10,1.0,0.08121619789981693,0.008121619789981693,0.026027871130323375,3.120355003033546,0.961376024560238,50.199298499996075,0.0,33.66131319999113,0.0006457999988924712,404193792,-62.25331555783749,59.27674062349387,19.957982959177468,-62.39429417848587,59.35031986646554,20.050280847952845,62.39429417848587,59.35031986646554,20.050280847952845,0.0008305943190246504,0.003823158514646231,0.0024950248419575724,1.0
20,36.73,1.529410032992299,15.29410032992299,2.15217055112111,8,0.8,0.09386731357443168,0.009386731357443168,0.0313778699993911,2.991513240900457,1.5126385596007117,50.61286240001209,97.9349993000069,32.64223990000028,0.0006005999894114211,404193792,-57.664723291397095,43.72348101842411,22.88738900998321,-57.83068192720413,43.7927762635197,22.916921604799317,57.83068192720413,43.7927762635197,22.916921604799317,0.0025213643334516295,0.0033459765778643753,0.002829053196314617,1.0
21,34.28,0.9472539473472736,9.472539473472736,-5.13599438871872,9,0.9,0.08162382633230791,0.008162382633230792,0.027095595482148557,3.0124389178338706,1.0908396119937969,48.41655749999336,0.0,36.710911199988914,0.0004616000078385696,404193792,-75.25552779257298,89.14046954849407,31.65115290629087,-75.45072042822838,89.1828692711384,31.605179674736565,75.45072042822838,89.1828692711384,31.605179674736565,0.001734613983624265,0.004355951661289542,0.0028418760054931304,1.0
22,37.04,0.8299815730533865,8.299815730533865,3.441871173393464,8,0.8,0.040209284396413025,0.0040209284396413025,0.013253692445404062,3.0338175238370093,0.7575854283521044,46.984994100013864,0.0,37.769564800008084,0.00034020000020973384,404193792,-179.28748710155486,291.2330775147841,74.33501137989994,-179.59559903740882,291.3504587709875,74.3563411138806,179.59559903740882,291.3504587709875,74.3563411138806,0.0030457194043829023,0.003560103009011,0.002673276305887079,1.0
