round,accuracy,G_mean,A_mean,D_positive_ratio,D_mean_positive,C_mean,alignment_valid_ratio,Gamma,hungarian_score,baseline_score,changed_pairs,Q_vs_Qint_assignment_equal,G_A_raw_pearson,G_A_interaction_pearson,G_A_within_row_spearman_mean,G_A_within_row_spearman_std,random_score_mean,random_score_std,random_score_p90,random_score_p95,random_score_p99,null_gamma_mean,null_gamma_std,null_gamma_p90,null_gamma_p95,null_gamma_p99,mean_reset_delta_norm,mean_active_reset_kernels,probe_seconds,reliability_probe_seconds,formal_training_seconds,matching_seconds,peak_gpu_memory_bytes,G_overall_std,G_mean_row_std,G_mean_col_std,G_interaction_std,G_interaction_overall_ratio,A_overall_std,A_mean_row_std,A_mean_col_std,A_interaction_std,A_interaction_overall_ratio,D_overall_std,D_mean_row_std,D_mean_col_std,D_interaction_std,D_interaction_overall_ratio,C_overall_std,C_mean_row_std,C_mean_col_std,C_interaction_std,C_interaction_overall_ratio,Q_overall_std,Q_mean_row_std,Q_mean_col_std,Q_interaction_std,Q_interaction_overall_ratio,without_G_overlap,without_A_overlap,without_D_overlap,without_C_overlap
1,10.13,0.1987515652179718,0.1747517204284668,0.23,1.4076839944590693,0.0028172042807967923,1.0,0.4622159903021862,4.622159903021862,1.6308066287192675,9,True,0.9975468723290224,0.9368889894136182,0.72,0.18153108646602475,0.06737256848078449,1.3778941407650491,1.89825637307413,2.2680445345925926,2.9147923085773875,0.6297759783644119,0.03178480983020163,0.6697558881800354,0.6822924002566092,0.7002445797611192,15.479049266693531,75.0,53.774870699999155,99.56181549999746,33.66849579999689,0.0006301999965216964,403261440,1.1621841659658527,0.16915278725495864,1.153530573326396,0.1616241736828641,0.13906933033160335,1.1519853253906887,0.1290354302163926,1.1448141858636656,0.12600483877854274,0.1093805936597404,0.9048893010536204,0.05773091297607991,0.8979767437779012,0.11241443133524297,0.12423003698281289,0.0031638618503498197,0.0024943440859379615,0.002503057757347846,0.0019254459602015854,0.608574600053632,3.105542648646888,0.4380937803184569,3.0796263038031095,0.40677586622225814,0.13098382867145422,1.0,0.7,1.0,0.6
2,17.44,0.8513761192560196,0.8583276218175888,0.05,0.560295295715332,-0.00047978256139696943,1.0,0.7758631707374806,7.758631707374805,4.933655765061492,8,True,0.9954941720405284,0.972523796228074,0.6278787878787878,0.38992076141654053,-0.13656098398375616,4.760092359614015,4.444967049005921,4.908704170893736,5.7098410566167495,0.875426497190103,0.03901504086858444,0.9210069551949516,0.93224047518162,0.944454638962418,15.292497409050707,75.0,45.45961140000145,0.0,37.31564179999987,0.0003521000035107136,403261440,0.6574606236378759,0.15021138852907873,0.6429177674007307,0.20122077228077323,0.30605752655934576,0.6437847036128311,0.12874452051406515,0.6321909918399211,0.1834565150613298,0.28496563219318055,0.16089235605488358,0.043385374059554886,0.0840442943572998,0.13015612217866468,0.8089639891547479,0.00531165353864952,0.003316652528184556,0.0048246788245054194,0.003004848458533509,0.5657086699403755,2.717863181776682,0.7832270857378798,2.4366036029550733,1.3972044538444663,0.5140819682214858,0.8,1.0,1.0,0.2
3,21.09,-0.08686759412288665,-0.08914135754108429,0.32,2.215743914246559,-0.0015803873944158977,1.0,1.124482084080656,11.24482084080656,3.38409491329101,10,True,0.9983067692672385,0.9954434047135191,0.7793939393939395,0.2928621309282989,0.09685797982764642,4.571401000223995,5.090091464219122,5.878667938312448,7.297658862915011,1.1315820786798072,0.0238582961732465,1.1607037620221743,1.1687357924918311,1.184512214166029,15.069225420708785,75.0,44.43537730000389,0.0,35.47165160000441,0.0005597999988822266,403261440,1.8448839802369972,0.6520795589425245,1.6507140213422076,0.8071245226637429,0.4374933769873476,1.8234622877014501,0.6134432188083975,1.638267871735523,0.7860732974247542,0.4310883217747443,1.4708977135056573,0.46232288111652586,1.2336616858453415,0.7786375190902984,0.5293621112745741,0.0076646904323909235,0.0036388947891662312,0.007314137202404242,0.003418238258854102,0.44597212229324396,3.112489885383643,1.0591057009872282,2.7540233469103863,1.4038533423343487,0.4510386841502333,0.8,1.0,1.0,0.8
4,17.95,-0.4267493391036987,-0.46487297654151916,0.47,1.7454575604580818,0.003649549915807707,1.0,1.2052086083227063,12.052086083227064,2.017211635237345,9,True,0.9968646338104423,0.9901740468070476,0.7818181818181816,0.21513017393089515,0.23196850603337726,4.269294982310276,5.783346635717311,7.162575376889785,9.296004245682647,1.2061575033131324,0.023108227404329548,1.2301269798375154,1.233818899781837,1.2422198416107124,14.839136043902124,75.0,44.14756149999448,0.0,34.69303639999998,0.000563900000997819,403261440,1.9024412950310512,0.5858890408922078,1.7554800096205798,0.7889021615573987,0.41467884639484887,1.8767344757683084,0.5902615585427216,1.7337945813059563,0.8143885068891888,0.4339391200003345,1.6488338713810013,0.4814445501578632,1.4824399998179771,0.743745561943261,0.45107367992163316,0.00906439987799371,0.004749545217654703,0.008342211801885671,0.004124413525660526,0.45501230982468666,3.051123450917462,0.9068382053138023,2.7871949463100893,1.2704712665765754,0.4163945795751231,1.0,1.0,1.0,0.3
5,24.2,-49.53519311070442,-49.47694102883339,0.93,53.22336700398435,-0.004982392331521171,1.0,0.9222550091132226,9.222550091132225,-0.9827724242814079,10,True,0.999990148757127,0.9999600107575094,0.9939393939393938,0.014595872216717926,-0.09184868072516385,2.76955120186313,3.5106532464428253,4.429868609544698,5.949215308141435,1.031275305183183,0.035592295600563144,1.0784554848013312,1.0874279338776303,1.1022696867418724,14.641993390365545,75.0,44.12124069999845,92.63224740000442,35.43197099999816,0.00045340000360738486,403261440,60.81476319317813,15.440460054693961,57.89888823379336,17.515803804862394,0.28801894285477087,60.833796408647345,15.498232603072342,57.88511437580932,17.546275292324967,0.28842972702967484,60.8168056985703,15.475530781156982,57.8678719611291,17.545799740174704,0.28850248773567494,0.007363446859001795,0.004716972830155661,0.006539619599885515,0.0038615945603704665,0.5244275723467301,3.0531143893017676,0.772580698667187,2.925240249195128,0.8420774711447465,0.27580934212469044,0.7,0.7,0.7,0.7
6,25.3,-6.769631286263466,-6.734647976756096,0.94,7.219393992677648,0.0003169032575023425,1.0,1.6546272250249152,16.546272250249153,-6.314274832417682,8,True,0.9997637227487505,0.9995266669608572,0.9563636363636363,0.07746203786022042,0.03705917183415237,4.804896649931646,6.453454055342217,8.654136863184005,11.08376682415431,1.926191664552723,0.06353615477998689,2.00059819031835,2.02692372164071,2.051660020169522,14.442728821211224,75.0,48.93561369999952,0.0,36.070600400009425,0.0005624999903375283,403261440,8.624566863484652,3.2527803569284,7.740256098012091,4.034744988889891,0.4678200137762861,8.627799839051805,3.310304208077517,7.739905984033511,4.078765754439506,0.4727469146859302,8.584197825021798,3.2471738778203045,7.6858443242876975,4.0553875262106125,0.47242475172108633,0.007359190870835894,0.004655736103359221,0.006224098418091411,0.003314064797021476,0.45033005057049813,3.120519582009908,1.2102570661602063,2.7980571920226405,1.4157846102587395,0.45370156252852,1.0,1.0,1.0,0.8
7,26.99,-46.37184911251068,-46.43252338290215,0.97,47.88756620638149,-0.0018426926221981796,1.0,1.0083649604303258,10.083649604303258,-2.0282556777546907,10,True,0.9999840392509728,0.9999019077054906,0.9903030303030302,0.014135640957200721,-0.016138917167295434,2.693426265089318,3.2956367314518817,4.138736178442143,5.50273553781018,1.0996412689418094,0.04745588642744963,1.1473677547853371,1.154611175869501,1.1711707402808136,14.268655013941693,75.0,50.5480719999905,0.0,39.00957589999598,0.0005778000049758703,403261440,59.69013764354619,14.939378471180811,57.87358711126736,16.380076787219334,0.2744184790632725,59.75023564833714,15.11488426314354,57.898164411981384,16.448768634210957,0.27529211317292485,59.7357354817789,15.088899738676474,57.88250836991226,16.438086407801904,0.27518011246075624,0.005880134913697646,0.004642983273605872,0.0047406806350639265,0.003855759845959923,0.6557264250821889,3.063549047557652,0.7626853222098848,2.9764631022386685,0.8149866751965809,0.26602697151080745,0.8,0.8,0.8,0.7
8,24.86,-43.27112778782845,-43.38215810894966,0.94,46.17692381270388,0.0017517858758935086,1.0,1.1319165305486512,11.31916530548651,-3.5548326839542588,8,True,0.9999944721079288,0.9999843722003904,0.9939393939393938,0.011175205402779255,-0.09745620081314449,4.209691661220714,5.118596647558371,6.448712201022891,8.241686539970965,1.635933428746317,0.09452159582589106,1.7389964017635322,1.7529364190690586,1.7851245761368615,14.004755568588944,75.0,46.96813480000128,0.0,36.514309799997136,0.0005842000100528821,403261440,71.96714719765619,20.43778687229979,63.154434644554144,30.177363452907144,0.4193213796571049,72.00732068414692,20.48389546452105,63.144742152282234,30.25854508753316,0.4202148448247271,71.9926744026192,20.45184270710286,63.12734334178457,30.26304582844859,0.4203628505200742,0.006511179778095076,0.005236388702073373,0.004910935881087481,0.0035494402458618258,0.5451301249280291,3.11599686166347,0.9599503245134369,2.7527202804106805,1.2477356156351478,0.40042903476130143,1.0,1.0,1.0,1.0
9,29.78,-58.00685242652893,-57.980162368416785,0.99,58.59522599884958,-0.0014564380594395965,1.0,1.3259237660553385,13.259237660553385,0.08996664651039152,10,True,0.9999870553874557,0.999950357724367,0.989090909090909,0.01752343308460721,-0.16401255864212538,3.8541044603289274,4.72447410929363,6.0846758557636464,8.719481710069786,1.7309130499426344,0.05292038711282153,1.8002554530903943,1.8152019017009031,1.8409311369310797,13.796534906776449,75.0,49.7361103999865,0.0,37.08553640000173,0.0005792000010842457,403261440,75.70756235950698,30.458162953119803,66.5146322013983,29.613513672705402,0.3911566130221162,75.75270761897275,30.620307901572282,66.50368801727559,29.64817668004018,0.39138108210160666,75.72985773771474,30.583587253358115,66.48747511026859,29.656178394996648,0.3916048343535627,0.006387088955993532,0.004433417068020133,0.005504188017333807,0.0036297042282536643,0.5682877212548627,3.0917734561751407,1.2544103496033503,2.723025377613582,1.151426155721323,0.3724160815927834,0.7,0.7,0.7,0.8
10,32.39,-50.55928363800049,-50.598139383792876,1.0,50.598139383792876,-0.0012403977169643235,1.0,1.703355016132606,17.033550161326062,-0.3908303471770642,9,True,0.9999875458363957,0.999974074101919,0.9951515151515151,0.005938156952201627,-0.196448162856446,5.02970179418991,6.075402269994057,7.86651692076492,11.368176329197272,2.3372474161226826,0.11603031508459624,2.4865353871456923,2.5154413844864156,2.5956400864820024,13.77320126535711,75.0,50.11298390000593,99.42443800000183,35.40636110000196,0.0005682999908458441,403261440,44.657159890260054,23.460340675922634,38.946154124367375,22.393730064056662,0.5014588952608436,44.70961524246877,23.527458332046706,38.95073483985173,22.444498577751247,0.5020060775748225,44.70961524246877,23.527458332046706,38.95073483985173,22.444498577751247,0.5020060775748225,0.005171764505030672,0.004021264032433823,0.00435157967632412,0.0030885099732593235,0.5971868924532568,3.025127384353778,1.6082601114897652,2.61331480632282,1.4917987290576498,0.49313583843555236,1.0,1.0,1.0,1.0
