candidate,Q_int_pearson,Q_int_spearman,pair_overlap,exact_assignment_fraction,cross_vs_baseline,cross_vs_baseline_random_std,cross_random_percentile,cross_above_baseline_fraction,cross_above_random_p90_fraction,heldout_G_vs_baseline,heldout_A_vs_baseline,adapted_loss_vs_baseline,heldout_G_quality_percentile,heldout_A_quality_percentile,adapted_loss_quality_percentile,functional_quality_percentile,margin,margin_per_K,margin_relative_to_q_std,rank_cross_random_percentile,rank_cross_vs_baseline_random_std,rank_functional_quality_percentile,rank_reliability_index,rank_pair_overlap,rank_margin_relative_to_q_std,rank_sum,score_generalization_rank,functional_recovery_rank,diagnostic_consensus_rank,method_rank
G,0.7152092672992526,0.6836915691569155,0.29333333333333333,0.0,2.4551206576093474,2.268556276466834,98.38666666666668,1.0,0.9333333333333333,19.440458504358933,19.462141407728197,-19.462141407728197,98.38666666666668,97.64333333333333,97.64333333333333,97.89111111111112,0.014612115625700877,0.0014612115625700875,0.014612115625704402,4.0,5.0,1.0,4.0,4.0,5.0,23.0,4.0,1.0,4,1
G+A,0.6997245452181514,0.6642408240824079,0.2533333333333333,0.0,4.787511582553683,2.20200457438695,97.86333333333333,0.9666666666666667,0.9333333333333333,19.398203483819962,19.423770121335984,-19.423770121335984,98.05666666666667,97.3,97.3,97.55222222222224,0.027277553877188273,0.0027277553877188268,0.013641488623023482,5.0,6.0,2.0,5.0,6.0,6.0,30.0,5.0,2.0,6,2
Full,0.6808641520109476,0.6686764676467647,0.28,0.0,7.513059627061652,2.2695588419669104,97.51333333333334,0.9666666666666667,0.9,18.961633923053743,18.96866342763106,-18.968663427631057,97.42333333333335,96.29000000000002,96.29000000000002,96.66777777777779,0.0888597610383061,0.00888597610383061,0.029431343502808866,6.0,4.0,3.0,6.0,5.0,4.0,28.0,6.0,3.0,5,3
A,0.6793428441672332,0.6436315631563155,0.24666666666666665,0.0,2.3425724359487483,2.120786611978857,96.535,0.9666666666666667,0.8666666666666667,19.391615394353874,19.421994827985767,-19.421994827985763,95.88166666666667,96.535,96.535,96.31722222222223,0.01337601973816079,0.001337601973816079,0.013376019738162903,7.0,7.0,4.0,7.0,7.0,7.0,39.0,7.0,4.0,7,4
A+C,0.7180516718860154,0.7180782078207819,0.38666666666666666,0.0,3.231771875935076,2.8109966945852376,99.09666666666666,1.0,1.0,14.585812195738159,14.55744559764862,-14.557445597648616,95.41000000000001,94.55333333333333,94.55333333333333,94.83888888888889,0.046959150023020306,0.00469591500230203,0.044464968766004746,3.0,3.0,5.0,3.0,2.5,2.0,18.5,3.0,5.0,3,5
G+C,0.7283776664149744,0.7281064106410641,0.38666666666666666,0.0,3.3476637343148297,2.855792750362716,99.11,1.0,1.0,14.484284861286483,14.451251905759174,-14.451251905759174,95.17666666666668,92.61333333333333,92.61333333333333,93.46777777777778,0.04492245093106743,0.0044922450931067425,0.04255802317830273,2.0,2.0,6.0,2.0,2.5,3.0,17.5,2.0,6.0,2,6
C,0.8493766106130437,0.8428618861886188,0.45999999999999996,0.0,8.504848484504782,4.025523973656288,99.94333333333334,1.0,1.0,-11.665574192206059,-11.8101514561971,11.810151456197104,35.86666666666667,31.976666666666667,31.976666666666667,33.27333333333333,0.164683846539461,0.0164683846539461,0.16468384658169374,1.0,1.0,7.0,1.0,1.0,1.0,12.0,1.0,7.0,1,7
