round,source_replicate,heldout_replicate,without_D_vs_full_heldout_G,without_D_vs_full_heldout_A,without_D_vs_full_adapted_loss,full_G_vs_baseline,without_D_G_vs_baseline,full_A_vs_baseline,without_D_A_vs_baseline,full_adapted_loss_vs_baseline,without_D_adapted_loss_vs_baseline
1,0,1,0.0,0.0,0.0,0.09206285476684567,0.09206285476684567,0.062060141563415494,0.062060141563415494,-0.06206014156341544,-0.06206014156341544
1,0,2,0.0,0.0,0.0,0.11068367362022402,0.11068367362022402,0.08123716711997986,0.08123716711997986,-0.08123716711997986,-0.08123716711997986
1,1,0,-0.042293083667755194,-0.06423761844635012,0.06423761844635001,0.07214413881301884,0.02985105514526365,0.03279358148574829,-0.03144403696060183,-0.03279358148574829,0.03144403696060172
1,1,2,0.03281176686286935,0.007846313714981124,-0.007846313714981124,0.12169902324676507,0.15451079010963442,0.09058346748352053,0.09842978119850165,-0.09058346748352042,-0.09842978119850154
1,2,0,0.0,0.0,0.0,0.008314752578735374,0.008314752578735374,-0.03128327131271369,-0.03128327131271369,0.03128327131271358,0.03128327131271358
1,2,1,0.0,0.0,0.0,0.07588574886322019,0.07588574886322019,0.024857640266418457,0.024857640266418457,-0.024857640266418457,-0.024857640266418457
10,0,1,-1.492776238918303,-1.485634517669677,1.4856345176696806,16.13325825929642,14.640482020378116,16.14663853645325,14.661004018783572,-16.146638536453246,-14.661004018783565
10,0,2,-0.7169373512268074,-0.7391150474548347,0.7391150474548382,19.707233023643493,18.990295672416686,19.742939949035645,19.00382490158081,-19.742939949035645,-19.003824901580806
10,1,0,-0.3246881127357497,-0.4333977699279785,0.4333977699279785,12.841782665252687,12.517094552516937,12.895595932006835,12.462198162078856,-12.895595932006838,-12.46219816207886
10,1,2,0.34479809999465516,0.31079740524292276,-0.31079740524292276,14.764319634437562,15.109117734432218,14.803409004211424,15.114206409454347,-14.803409004211424,-15.114206409454347
10,2,0,0.0,0.0,0.0,6.779264354705813,6.779264354705813,6.803629398345947,6.803629398345947,-6.803629398345951,-6.803629398345951
10,2,1,0.0,0.0,0.0,4.620343947410582,4.620343947410582,4.661825227737431,4.661825227737431,-4.661825227737424,-4.661825227737424
20,0,1,-2.624114108085635,-2.6440201759338393,2.6440201759338393,15.97884936332703,13.354735255241394,15.971087360382079,13.32706718444824,-15.971087360382086,-13.327067184448246
20,0,2,-2.02394442558289,-2.0163303375244155,2.0163303375244084,10.44926069974899,8.4253162741661,10.402694511413571,8.386364173889156,-10.402694511413571,-8.386364173889163
20,1,0,0.0,0.0,0.0,13.254007363319396,13.254007363319396,13.324066352844241,13.324066352844241,-13.324066352844241,-13.324066352844241
20,1,2,0.0,0.0,0.0,20.841849172115317,20.841849172115317,20.842132568359368,20.842132568359368,-20.842132568359375,-20.842132568359375
20,2,0,0.0,0.0,0.0,12.17014161348343,12.17014161348343,12.212466621398924,12.212466621398924,-12.212466621398924,-12.212466621398924
20,2,1,0.0,0.0,0.0,19.46547206640244,19.46547206640244,19.428001213073728,19.428001213073728,-19.428001213073735,-19.428001213073735
30,0,1,-9.470058512687686,-9.527936553955087,9.527936553955087,32.72183147668839,23.251772964000708,32.76064519882202,23.232708644866932,-32.76064519882202,-23.232708644866932
30,0,2,-5.934696757793432,-6.001450729370134,6.001450729370134,31.41001166105272,25.47531490325929,31.494452285766613,25.49300155639648,-31.494452285766613,-25.49300155639648
30,1,0,0.0,0.0,0.0,33.996381449699385,33.996381449699385,34.00688781738282,34.00688781738282,-34.00688781738282,-34.00688781738282
30,1,2,0.0,0.0,0.0,30.450526261329657,30.450526261329657,30.516705322265636,30.516705322265636,-30.516705322265636,-30.516705322265636
30,2,0,0.8564620733261279,0.8356254577636548,-0.8356254577636832,28.91045312881468,29.766915202140808,28.92493438720703,29.760559844970686,-28.92493438720703,-29.760559844970714
30,2,1,2.436595523357397,2.409763717651373,-2.409763717651373,32.984415733814245,35.42101125717164,33.006024456024164,35.41578817367554,-33.006024456024164,-35.41578817367554
40,0,1,0.32065917253493126,0.30353012084961506,-0.30353012084961506,38.42956895828249,38.75022813081742,38.42571868896485,38.729248809814464,-38.42571868896485,-38.729248809814464
40,0,2,-8.336990249156955,-8.376511383056638,8.376511383056638,26.906685149669656,18.5696949005127,26.916994094848647,18.54048271179201,-26.91699409484862,-18.54048271179198
40,1,0,0.0,0.0,0.0,37.96691315174104,37.96691315174104,37.935584831237804,37.935584831237804,-37.935584831237776,-37.935584831237776
40,1,2,0.0,0.0,0.0,23.884181356430062,23.884181356430062,23.828742599487313,23.828742599487313,-23.8287425994873,-23.8287425994873
40,2,0,0.0,0.0,0.0,42.14843800067902,42.14843800067902,42.1699884414673,42.1699884414673,-42.16998844146727,-42.16998844146727
40,2,1,0.0,0.0,0.0,41.55303900837899,41.55303900837899,41.57848930358887,41.57848930358887,-41.57848930358887,-41.57848930358887
