candidate,round,cross_vs_baseline,cross_random_percentile,heldout_G_vs_baseline,heldout_A_vs_baseline,adapted_loss_vs_baseline,heldout_G_quality_percentile,heldout_A_quality_percentile,adapted_loss_quality_percentile,functional_quality_percentile
Full,1,2.940588634665868,98.7,0.08013169864813487,0.04337478776772816,-0.04337478776772815,98.56666666666666,92.83333333333333,92.83333333333333,94.74444444444443
Full,10,9.471770582988146,90.66666666666667,12.474366980791094,12.509006341298422,-12.509006341298422,90.73333333333333,90.81666666666666,90.81666666666666,90.78888888888889
Full,20,10.867904088864528,98.66666666666667,15.359930046399434,15.363408104578651,-15.363408104578658,98.45,98.43333333333334,98.43333333333334,98.43888888888888
Full,30,6.255395596358522,99.56666666666668,31.745603285233177,31.78494157791138,-31.78494157791138,99.51666666666667,99.51666666666667,99.51666666666667,99.51666666666667
Full,40,8.029639232431201,99.96666666666665,35.148137604196876,35.14258632659913,-35.142586326599115,99.85000000000001,99.85000000000001,99.85000000000001,99.85000000000001
G,1,1.0548281210329742,98.91666666666667,0.0940704862276713,0.05493515531222024,-0.05493515531222026,98.91666666666667,95.16666666666667,95.16666666666667,96.41666666666667
G,10,3.302588002808404,95.16666666666667,13.880025033156079,13.924531054496763,-13.924531054496763,95.16666666666667,95.18333333333334,95.18333333333334,95.17777777777779
G,20,3.348794841825035,98.66666666666667,15.819331997632977,15.839974403381348,-15.83997440338135,98.66666666666667,98.66666666666667,98.66666666666667,98.66666666666667
G,30,1.8827238331576552,99.3,30.18742531736692,30.234241628646846,-30.234241628646846,99.3,99.3,99.3,99.3
G,40,2.6866684892226687,99.88333333333333,37.221439687411,37.2570247968038,-37.25702479680379,99.88333333333333,99.89999999999999,99.89999999999999,99.89444444444443
A,1,0.5045016304930913,90.65833333333335,0.05040713151295977,0.04192449450492858,-0.0419244945049286,87.54166666666669,90.65833333333335,90.65833333333335,89.61944444444447
A,10,3.2882189889211357,94.14999999999999,13.679472837845486,13.736808816591898,-13.736808816591896,94.01666666666667,94.14999999999999,94.14999999999999,94.10555555555555
A,20,3.348102672741138,98.66666666666667,15.819331997632977,15.839974403381348,-15.83997440338135,98.66666666666667,98.66666666666667,98.66666666666667,98.66666666666667
A,30,1.88456464442263,99.3,30.18742531736692,30.234241628646846,-30.234241628646846,99.3,99.3,99.3,99.3
A,40,2.687474243165745,99.89999999999999,37.221439687411,37.2570247968038,-37.25702479680379,99.88333333333333,99.89999999999999,99.89999999999999,99.89444444444443
C,1,4.311419488592537,99.89999999999999,0.020038223266601558,-0.0017022291819254742,0.0017022291819255668,81.01666666666667,62.800000000000004,62.800000000000004,68.87222222222222
C,10,10.238130437825134,100.0,1.1465263326962791,0.9566569328308093,-0.9566569328308093,39.9,39.46666666666666,39.46666666666666,39.61111111111111
C,20,12.000906413723401,99.93333333333334,-9.864010107517242,-9.998969999949141,9.998969999949134,19.400000000000002,18.95,18.95,19.099999999999998
C,30,9.500591758744216,99.96666666666665,-55.09340225458144,-55.36764779090881,55.367647790908826,0.8166666666666668,0.7666666666666667,0.7666666666666667,0.7833333333333333
C,40,6.473194323638624,99.91666666666667,5.462976845105501,5.360905806223561,-5.360905806223546,38.2,37.9,37.9,38.0
G+C,1,2.0201550817630514,99.95,0.07855059107144674,0.02473556995391846,-0.024735569953918457,98.36666666666667,85.66666666666667,85.66666666666667,89.90000000000002
G+C,10,4.2457763607058085,96.61666666666667,13.307849703232447,13.303063933054608,-13.303063933054604,93.73333333333333,93.78333333333335,93.78333333333335,93.76666666666667
G+C,20,4.876085008465865,99.64999999999999,12.737429052591324,12.70177175203959,-12.701771752039596,95.91666666666667,95.89999999999999,95.89999999999999,95.90555555555555
G+C,30,2.4824518005972096,99.39999999999999,15.261371074120206,15.200333960851026,-15.200333960851035,90.31666666666666,90.2,90.2,90.23888888888888
G+C,40,3.1138504200422132,99.93333333333334,31.03622388541699,31.02635431289674,-31.026354312896718,97.55,97.51666666666667,97.51666666666667,97.52777777777777
A+C,1,1.4777965822894006,99.83333333333333,0.08773619532585146,0.044741336504618305,-0.04474133650461831,99.18333333333334,95.01666666666667,95.01666666666667,96.40555555555555
A+C,10,4.240715733193632,96.66666666666667,13.307849703232447,13.303063933054608,-13.303063933054604,93.73333333333333,93.78333333333335,93.78333333333335,93.76666666666667
A+C,20,4.850405345721217,99.66666666666667,13.235880120595295,13.212734444936112,-13.212734444936117,96.26666666666665,96.25,96.25,96.25555555555555
A+C,30,2.4782795290486423,99.38333333333334,15.261371074120206,15.200333960851026,-15.200333960851035,90.31666666666666,90.2,90.2,90.23888888888888
A+C,40,3.1116621894224887,99.93333333333334,31.03622388541699,31.02635431289674,-31.026354312896718,97.55,97.51666666666667,97.51666666666667,97.52777777777777
G+A,1,1.5338012380287307,97.34999999999998,0.08334757884343465,0.050800961256027205,-0.05080096125602718,98.41666666666667,94.48333333333333,94.48333333333333,95.79444444444444
G+A,10,6.565427950204813,94.11666666666667,13.679472837845486,13.736808816591898,-13.736808816591896,94.01666666666667,94.14999999999999,94.14999999999999,94.10555555555555
G+A,20,6.6968975145661735,98.64999999999999,15.819331997632977,15.839974403381348,-15.83997440338135,98.66666666666667,98.66666666666667,98.66666666666667,98.66666666666667
G+A,30,3.7672884775802853,99.3,30.18742531736692,30.234241628646846,-30.234241628646846,99.3,99.3,99.3,99.3
G+A,40,5.374142732388414,99.89999999999999,37.221439687411,37.2570247968038,-37.25702479680379,99.88333333333333,99.89999999999999,99.89999999999999,99.89444444444443
