candidate,round,replicate,best_score,second_best_score,absolute_margin,margin_per_K,Q_std,margin_relative_to_Q_std,best_assignment,second_assignment
G+A,30,2,7.789911247295111,7.75486262773038,0.03504861956473082,0.003504861956473082,1.9999991488365774,0.01752431724039433,"[7, 4, 3, 6, 8, 0, 1, 9, 5, 2]","[8, 4, 3, 6, 7, 0, 1, 9, 5, 2]"
Full,40,0,6.3565559621774375,6.341572887199718,0.014983074977719113,0.0014983074977719113,3.030102200395428,0.004944742449863183,"[7, 9, 0, 2, 3, 1, 6, 8, 5, 4]","[7, 8, 0, 2, 3, 1, 6, 9, 5, 4]"
G,40,0,2.0069438448287835,2.002759884785683,0.004183960043100399,0.00041839600431003987,0.9999999999999948,0.00418396004310042,"[7, 2, 3, 1, 8, 0, 6, 9, 5, 4]","[3, 9, 0, 2, 8, 1, 6, 4, 5, 7]"
A,40,0,2.0076737026869242,2.0022185024517505,0.005455200235173763,0.0005455200235173763,0.9999999999999947,0.005455200235173792,"[7, 2, 3, 1, 8, 0, 6, 9, 5, 4]","[3, 9, 0, 2, 8, 1, 6, 4, 5, 7]"
C,40,0,8.858761102214288,8.609119658452219,0.24964144376206931,0.02496414437620693,0.9999999997398704,0.24964144382700845,"[9, 3, 0, 5, 2, 4, 7, 1, 6, 8]","[9, 8, 0, 5, 2, 4, 7, 1, 6, 3]"
G+C,40,0,3.03267720573993,3.0190326984125213,0.01364450732740874,0.001364450732740874,1.0499501438258325,0.012995385931079136,"[9, 3, 0, 6, 2, 1, 5, 8, 4, 7]","[9, 3, 0, 2, 6, 1, 5, 8, 4, 7]"
A+C,40,0,3.02811811469243,3.016720108885554,0.011398005806875666,0.0011398005806875667,1.0497918349528859,0.010857396130716908,"[9, 3, 0, 6, 2, 1, 5, 8, 4, 7]","[9, 3, 0, 2, 6, 1, 5, 8, 4, 7]"
G+A,40,0,4.014617547515707,4.004978387237434,0.009639160278273273,0.0009639160278273273,1.9999997808485857,0.004819580667245597,"[7, 2, 3, 1, 8, 0, 6, 9, 5, 4]","[3, 9, 0, 2, 8, 1, 6, 4, 5, 7]"
Full,40,1,7.364667927579101,7.202224151718439,0.1624437758606625,0.01624437758606625,2.9919840001901403,0.05429299616921053,"[9, 6, 7, 2, 3, 1, 5, 8, 0, 4]","[9, 3, 7, 2, 6, 1, 5, 8, 0, 4]"
G,40,1,2.3543715432029266,2.349609835066867,0.004761708136059806,0.0004761708136059806,0.9999999999999931,0.004761708136059839,"[7, 6, 3, 2, 8, 1, 5, 9, 0, 4]","[4, 6, 3, 2, 8, 1, 5, 9, 0, 7]"
A,40,1,2.3540539962418885,2.3506689345263996,0.003385061715488913,0.0003385061715488913,0.9999999999999929,0.0033850617154889367,"[7, 6, 3, 2, 8, 1, 5, 9, 0, 4]","[4, 6, 3, 2, 8, 1, 5, 9, 0, 7]"
C,40,1,8.068521194493744,8.06849246391022,2.8730583524705366e-05,2.8730583524705367e-06,0.999999999730338,2.8730583532452913e-05,"[1, 3, 0, 6, 4, 5, 7, 8, 9, 2]","[1, 9, 0, 6, 2, 5, 7, 8, 4, 3]"
G+C,40,1,3.171740872399426,3.1183902119945146,0.05335066040491121,0.005335066040491121,1.0128805386017594,0.05267221392027103,"[9, 2, 7, 6, 3, 1, 5, 8, 0, 4]","[9, 3, 7, 2, 6, 1, 5, 8, 0, 4]"
A+C,40,1,3.1700902068991708,3.114038590355908,0.05605161654326274,0.005605161654326274,1.0126808380420371,0.055349735511570915,"[9, 2, 7, 6, 3, 1, 5, 8, 0, 4]","[9, 3, 7, 2, 6, 1, 5, 8, 0, 4]"
G+A,40,1,4.708425539444814,4.700278769593267,0.008146769851546942,0.0008146769851546942,1.9999995390465861,0.0040733858645940315,"[7, 6, 3, 2, 8, 1, 5, 9, 0, 4]","[4, 6, 3, 2, 8, 1, 5, 9, 0, 7]"
Full,40,2,11.469171346219264,11.3269035946996,0.14226775151966464,0.014226775151966464,2.9948814512984994,0.04750363372746564,"[3, 7, 0, 2, 8, 1, 5, 9, 6, 4]","[8, 7, 0, 2, 3, 1, 5, 9, 6, 4]"
G,40,2,3.7309943958314293,3.712265727817502,0.01872866801392714,0.001872866801392714,0.9999999999999898,0.018728668013927332,"[3, 2, 0, 8, 7, 1, 5, 9, 6, 4]","[1, 7, 2, 8, 3, 0, 5, 9, 6, 4]"
A,40,2,3.72832917464673,3.712711473082297,0.015617701564432984,0.0015617701564432985,0.99999999999999,0.01561770156443314,"[3, 2, 0, 8, 7, 1, 5, 9, 6, 4]","[1, 7, 2, 8, 3, 0, 5, 9, 6, 4]"
C,40,2,8.638318412580627,8.355070485298754,0.28324792728187376,0.028324792728187376,0.9999999997362117,0.28324792735659127,"[9, 3, 4, 2, 6, 5, 8, 1, 7, 0]","[9, 3, 4, 2, 5, 6, 8, 1, 7, 0]"
G+C,40,2,4.196002155325767,4.14391109347419,0.05209106185157708,0.005209106185157708,1.0157718638315802,0.051282245262322036,"[8, 3, 0, 2, 7, 1, 5, 9, 6, 4]","[1, 3, 0, 2, 8, 7, 5, 9, 6, 4]"
A+C,40,2,4.1915840473740555,4.141247701563012,0.050336345811043515,0.005033634581104352,1.0155116341233015,0.04956747330078522,"[8, 3, 0, 2, 7, 1, 5, 9, 6, 4]","[1, 3, 0, 2, 8, 7, 5, 9, 6, 4]"
G+A,40,2,7.459323570478158,7.424977200899798,0.034346369578360125,0.0034346369578360124,1.9999993337291866,0.017173190510177867,"[3, 2, 0, 8, 7, 1, 5, 9, 6, 4]","[1, 7, 2, 8, 3, 0, 5, 9, 6, 4]"
