round,replicate,D_positive_ratio,corr_A_int_minus_D_int,full_without_D_overlap
1,0,0.2,0.7429224400244945,1.0
1,1,0.4,0.938105134535222,0.3
1,2,0.16,0.8131375064186209,1.0
10,0,1.0,1.0,0.7
10,1,1.0,1.0,0.5
10,2,1.0,1.0,1.0
20,0,1.0,0.9999999999999999,0.4
20,1,1.0,1.0,1.0
20,2,1.0,1.0,1.0
30,0,1.0,0.9999999999999999,0.6
30,1,1.0,0.9999999999999999,1.0
30,2,1.0,0.9999999999999999,0.7
40,0,1.0,1.0,0.4
40,1,1.0,1.0,1.0
40,2,1.0,1.0,1.0
