round,accuracy,Gamma,hungarian_score,baseline_score,changed_pairs,changed_fraction,assignment_margin,margin_per_K,margin_per_Q_std,Q_std,Q_interaction_std,probe_seconds,reliability_probe_seconds,formal_training_seconds,matching_seconds,peak_gpu_memory_bytes,G_mean,G_std,G_interaction_std,A_mean,A_std,A_interaction_std,D_mean,D_std,D_interaction_std,C_mean,C_std,C_interaction_std,D_positive_ratio,delta_fedrad_minus_clean,mean_reset_delta_norm,mean_active_reset_kernels,total_active_reset_kernels
1,10.1,0.5893492181241292,5.893492181241292,3.1191583405570134,7,0.7,0.09089588947615468,0.009089588947615468,0.029844797870409615,3.045619202074601,0.41293595170643105,14.476641800000039,0.0,9.753219599999966,0.00039199999991978984,425411584,0.6090125000476837,0.9649583099547158,0.13821408385556277,0.5812113690376282,0.9560919348171806,0.10244687965088715,0.20675034523010255,0.4922928056544236,0.07995042006953797,0.0030061510051218603,0.003080266683544034,0.0018051821194456973,0.2,0.0600000000000005,15.479049266693531,75.0,750
2,17.37,0.7081122219621137,7.081122219621136,2.68907273922042,10,1.0,0.013540148322618073,0.0013540148322618074,0.004883640763918114,2.772552072760343,1.0398082210208661,14.839284499999962,0.0,10.735720000000015,0.00037040000006527407,425608192,0.9578555297851562,0.745213574577195,0.14537017876486036,0.9634217548370362,0.7463103112501147,0.13202898124721285,0.039834084510803225,0.16332010366266336,0.10560966288627625,-0.0008309634912819619,0.0051700218116422225,0.003157663402895188,0.09,-1.5700000000000003,15.291252944948758,75.0,750
3,19.86,0.8134425995968039,8.134425995968039,3.7337388779970753,8,0.8,0.03651158883405259,0.003651158883405259,0.011731354523751146,3.112308025482625,1.4184305829553654,15.347483000000011,0.0,9.17189970000004,0.00031849999993482925,425673728,-0.15682844758033754,2.755181569236761,1.2516400278177873,-0.16708865880966187,2.7239272278490287,1.2453454556133812,0.807137815952301,2.4562265683166484,1.2301294461128836,-0.001266612078609605,0.007960461485170864,0.0035717364170452155,0.31,-1.4499999999999993,15.06964669789497,75.0,750
4,18.17,0.5796259019324433,5.796259019324434,3.4174344895178863,8,0.8,0.04475302675800563,0.0044753026758005635,0.014457496515786199,3.0954893683799005,0.6714037159806202,14.969907499999977,0.0,8.703854700000079,0.00031920000003538007,425608192,-0.4667888307571411,3.2170127455409085,0.7074137764559116,-0.4962517857551575,3.161094704083524,0.7094975451691526,1.0198023891448975,2.938899969010876,0.6432472819583264,0.0018114884547005994,0.008897551129136944,0.0039850040879968384,0.27,-0.28999999999999915,14.841809202041082,75.0,750
5,25.46,0.9153043537371814,9.153043537371815,-1.1663966833323878,10,1.0,0.06675522070703543,0.006675522070703543,0.021912210710072044,3.0464849754457273,0.8632474876638944,15.3101537,0.0,9.358480199999917,0.00032609999993837846,425673728,-46.14793558061123,52.44547871483698,15.503548129812781,-46.11253665864468,52.462138958033904,15.573086175648523,46.187556529045104,52.39543196935195,15.586753564073057,-0.004734795823691867,0.006677933388014713,0.0036037885291510495,0.86,0.4700000000000024,14.648602531998003,75.0,750
6,26.87,1.6773585753410842,16.773585753410842,-1.9903744969658026,10,1.0,0.04598191738124058,0.004598191738124058,0.014763453957310707,3.114577219815883,1.5672674894715424,15.477822200000105,0.0,8.87257939999995,0.0003206999999747495,425608192,-7.146571500301361,8.6848500234136,4.462125611203749,-7.162978800535202,8.669826567487696,4.5352354315665275,7.185525561571121,8.650250594083856,4.533706623493409,0.00198244036148764,0.008429667817612242,0.0036834821817141182,0.94,0.33000000000000185,14.445515225428371,75.0,750
7,28.78,0.8058334228176454,8.058334228176454,-1.4204148702032224,8,0.8,0.03510748720646717,0.003510748720646717,0.01142541858379328,3.0727528229264536,0.8995314675334264,15.043830700000058,0.0,10.120586600000024,0.00034170000003541645,425608192,-41.48778225779533,76.96450059231714,23.100872031101527,-41.49733740925789,77.01427061756988,23.13817645080813,41.51824752688408,77.0028636164305,23.139359701899533,-0.0014312314927387385,0.005755502301769381,0.003587582142981617,0.96,-0.41000000000000014,14.27490027702006,75.0,750
8,26.04,0.9014005526296118,9.014005526296119,-1.7602073015409876,9,0.9,0.004690339083015971,0.00046903390830159707,0.001507060709100874,3.112242960546871,1.0220067560631967,15.124448400000006,0.0,9.089883100000065,0.000318899999911082,425608192,-54.718726556301114,110.37659317677712,38.065950849959954,-54.89919569373131,110.45311023853478,38.1190741199325,54.90469216108322,110.45037004143019,38.12294839046521,0.0028483504332166626,0.0064235328472875,0.0027086048853933904,0.98,-0.5399999999999991,13.984073811231557,75.0,750
9,30.21,1.2369989218919035,12.369989218919034,1.6142507310404484,10,1.0,0.06849468468446496,0.006849468468446496,0.02234095353894561,3.0658800916918065,1.1599647099113788,15.168255700000032,0.0,9.242849200000023,0.00032089999990603246,425608192,-62.76251093327999,82.91958061774845,32.722570299759795,-62.766576483249665,83.01193192933503,32.79650353239194,62.766576483249665,83.01193192933503,32.79650353239194,-0.001046141966481948,0.006012836497524988,0.004045837449890955,1.0,-0.33999999999999986,13.789681025782523,75.0,750
10,32.4,1.7484073797381405,17.484073797381406,-6.527733651330663,9,0.9,0.05385245696648511,0.005385245696648511,0.017681180352462026,3.045750107909871,1.4030174615663138,15.190636100000006,0.0,8.655295000000024,0.0003248000000439788,425608192,-41.54559858202934,36.33629005693248,17.215416569668555,-41.61423663854599,36.3618152898645,17.282542706812887,41.61423663854599,36.3618152898645,17.282542706812887,-0.0009548932439049589,0.005561568130695204,0.0031880036437622454,1.0,-1.2100000000000009,13.773614959184476,75.0,750
