round,client_id,task_id,global_loss,reset_loss,adapted_loss,G,A,D,C,gradient_norm,delta_norm,alignment_valid,probe_seed,support_hash,query_hash,task_hash,probe_replicate
21,26,0,2.8357839584350586,2.7799856662750244,210.643310546875,-207.86332488059998,-207.80752658843994,207.80752658843994,-0.00036854339392239306,7.424737363264547,11.884164584915826,True,2425983,a1b59764ed2b04cd069d1a0aa24bd6d0af6d7dcd182ece131f3ac5dd541ecc02,36d0c587b7284a68e0f49c155f3aa1355f71870bc95e20553a2fccf02504375f,3450bf00f24fffafd1a784818dac80692818ca46021cdbc12a4bc1574e3b9e55,0
21,26,1,2.8357839584350586,2.673203706741333,238.259765625,-235.58656191825867,-235.42398166656494,235.42398166656494,-0.0014995979967518875,8.738451589578892,11.800125476852749,True,2425983,a1b59764ed2b04cd069d1a0aa24bd6d0af6d7dcd182ece131f3ac5dd541ecc02,36d0c587b7284a68e0f49c155f3aa1355f71870bc95e20553a2fccf02504375f,5b6e522c8af79f0774eef5d8d5e680418892f4bb9eb81a99325f88080e36ff09,0
21,26,2,2.8357839584350586,2.925724744796753,283.3310546875,-280.40532994270325,-280.49527072906494,280.49527072906494,0.00019590168522882925,8.659725442680461,11.754057277735395,True,2425983,a1b59764ed2b04cd069d1a0aa24bd6d0af6d7dcd182ece131f3ac5dd541ecc02,36d0c587b7284a68e0f49c155f3aa1355f71870bc95e20553a2fccf02504375f,32fc54c19668a83f37f1f25bd5b5512f48a081570d7b9e4c14a6c98fdf2e825e,0
21,26,3,2.8357839584350586,3.085333824157715,201.4637908935547,-198.37845706939697,-198.62800693511963,198.62800693511963,0.005188434631312384,9.974847348881488,11.688834182646342,True,2425983,a1b59764ed2b04cd069d1a0aa24bd6d0af6d7dcd182ece131f3ac5dd541ecc02,36d0c587b7284a68e0f49c155f3aa1355f71870bc95e20553a2fccf02504375f,c23259c7de142fbafde40ae7361253d68698f07bb851ccccf0211f9d044ab696,0
21,26,4,2.8357839584350586,3.3174211978912354,185.32308959960938,-182.00566840171814,-182.48730564117432,182.48730564117432,0.0014681628088750957,8.133506273362626,11.896009064864735,True,2425983,a1b59764ed2b04cd069d1a0aa24bd6d0af6d7dcd182ece131f3ac5dd541ecc02,36d0c587b7284a68e0f49c155f3aa1355f71870bc95e20553a2fccf02504375f,0c996658a5578e69e935fd141fdd1f32cff7956ff768360fe7364567bbf634da,0
21,26,5,2.8357839584350586,3.232940912246704,129.6921844482422,-126.45924353599548,-126.85640048980713,126.85640048980713,0.004742692448832602,8.770062333303757,11.928487303524827,True,2425983,a1b59764ed2b04cd069d1a0aa24bd6d0af6d7dcd182ece131f3ac5dd541ecc02,36d0c587b7284a68e0f49c155f3aa1355f71870bc95e20553a2fccf02504375f,9bc4de8291774d6d2b9fff9d3c818b3adfc92ce4abae3e1f0fa2591ab7406a0c,0
21,26,6,2.8357839584350586,3.3261358737945557,214.42721557617188,-211.10107970237732,-211.59143161773682,211.59143161773682,0.0020917847896743977,9.521823586086235,11.750864790928743,True,2425983,a1b59764ed2b04cd069d1a0aa24bd6d0af6d7dcd182ece131f3ac5dd541ecc02,36d0c587b7284a68e0f49c155f3aa1355f71870bc95e20553a2fccf02504375f,931c2a23f753539f4bc7e948776f92aed4d0919b02ddb88130a4591f9667bef3,0
21,26,7,2.8357839584350586,3.138123035430908,174.44834899902344,-171.31022596359253,-171.61256504058838,171.61256504058838,0.005558485744047521,7.127871102208944,11.568418451285128,True,2425983,a1b59764ed2b04cd069d1a0aa24bd6d0af6d7dcd182ece131f3ac5dd541ecc02,36d0c587b7284a68e0f49c155f3aa1355f71870bc95e20553a2fccf02504375f,57896c87924d6fd005912240f8e436078ef931ecaf0c75ad4c27565d586395ee,0
21,26,8,2.8357839584350586,2.4898877143859863,190.3673095703125,-187.8774218559265,-187.53152561187744,187.53152561187744,-0.006874443049371234,7.898154465508917,11.690074475379491,True,2425983,a1b59764ed2b04cd069d1a0aa24bd6d0af6d7dcd182ece131f3ac5dd541ecc02,36d0c587b7284a68e0f49c155f3aa1355f71870bc95e20553a2fccf02504375f,a56b53abe9c9b3faa9800e16bce90831527f84c6287453e65a90c3a6711f4635,0
21,26,9,2.8357839584350586,2.8890089988708496,217.52841186523438,-214.63940286636353,-214.69262790679932,214.69262790679932,0.00027297924315650667,7.424031028011248,11.885415867318377,True,2425983,a1b59764ed2b04cd069d1a0aa24bd6d0af6d7dcd182ece131f3ac5dd541ecc02,36d0c587b7284a68e0f49c155f3aa1355f71870bc95e20553a2fccf02504375f,9cd959e9b55846ebf73af23db50e89c2de38e8251b4bd8100fe74136086a9f59,0
21,25,0,1.9155062437057495,1.5388041734695435,17.084575653076172,-15.545771479606628,-15.169069409370422,15.169069409370422,3.526307305029834e-05,3.5289989302047413,11.884164584915826,True,2424986,a4ddf9fbb61e537db911c8631caaf9a1e342bcdc89c20b37ca0dee3c9e104289,7b016886f63a7a0672a8164cfb8182feffa2e2713bb01d8a23747d2f8e89f0a4,3450bf00f24fffafd1a784818dac80692818ca46021cdbc12a4bc1574e3b9e55,0
21,25,1,1.9155062437057495,1.6899843215942383,21.76136016845703,-20.071375846862793,-19.84585392475128,19.84585392475128,0.0006565122129927707,5.480676483950573,11.800125476852749,True,2424986,a4ddf9fbb61e537db911c8631caaf9a1e342bcdc89c20b37ca0dee3c9e104289,7b016886f63a7a0672a8164cfb8182feffa2e2713bb01d8a23747d2f8e89f0a4,5b6e522c8af79f0774eef5d8d5e680418892f4bb9eb81a99325f88080e36ff09,0
21,25,2,1.9155062437057495,1.7774875164031982,9.665237426757812,-7.887749910354614,-7.749731183052063,7.749731183052063,0.0008543383395029204,4.817738120901707,11.754057277735395,True,2424986,a4ddf9fbb61e537db911c8631caaf9a1e342bcdc89c20b37ca0dee3c9e104289,7b016886f63a7a0672a8164cfb8182feffa2e2713bb01d8a23747d2f8e89f0a4,32fc54c19668a83f37f1f25bd5b5512f48a081570d7b9e4c14a6c98fdf2e825e,0
21,25,3,1.9155062437057495,1.8062286376953125,20.516273498535156,-18.710044860839844,-18.600767254829407,18.600767254829407,0.0050275105865198655,4.470245705516509,11.688834182646342,True,2424986,a4ddf9fbb61e537db911c8631caaf9a1e342bcdc89c20b37ca0dee3c9e104289,7b016886f63a7a0672a8164cfb8182feffa2e2713bb01d8a23747d2f8e89f0a4,c23259c7de142fbafde40ae7361253d68698f07bb851ccccf0211f9d044ab696,0
21,25,4,1.9155062437057495,2.1821744441986084,22.973291397094727,-20.791116952896118,-21.057785153388977,21.057785153388977,0.007676444684726633,4.07412327158271,11.896009064864735,True,2424986,a4ddf9fbb61e537db911c8631caaf9a1e342bcdc89c20b37ca0dee3c9e104289,7b016886f63a7a0672a8164cfb8182feffa2e2713bb01d8a23747d2f8e89f0a4,0c996658a5578e69e935fd141fdd1f32cff7956ff768360fe7364567bbf634da,0
21,25,5,1.9155062437057495,2.0423059463500977,32.62857437133789,-30.586268424987793,-30.71306812763214,30.71306812763214,0.006510169256068758,5.488878951864679,11.928487303524827,True,2424986,a4ddf9fbb61e537db911c8631caaf9a1e342bcdc89c20b37ca0dee3c9e104289,7b016886f63a7a0672a8164cfb8182feffa2e2713bb01d8a23747d2f8e89f0a4,9bc4de8291774d6d2b9fff9d3c818b3adfc92ce4abae3e1f0fa2591ab7406a0c,0
21,25,6,1.9155062437057495,2.191924571990967,43.360374450683594,-41.16844987869263,-41.444868206977844,41.444868206977844,0.00867693943492604,6.930959195516282,11.750864790928743,True,2424986,a4ddf9fbb61e537db911c8631caaf9a1e342bcdc89c20b37ca0dee3c9e104289,7b016886f63a7a0672a8164cfb8182feffa2e2713bb01d8a23747d2f8e89f0a4,931c2a23f753539f4bc7e948776f92aed4d0919b02ddb88130a4591f9667bef3,0
21,25,7,1.9155062437057495,1.8433810472488403,9.322606086730957,-7.479225039482117,-7.4070998430252075,7.4070998430252075,0.00318689049737255,3.955115805401798,11.568418451285128,True,2424986,a4ddf9fbb61e537db911c8631caaf9a1e342bcdc89c20b37ca0dee3c9e104289,7b016886f63a7a0672a8164cfb8182feffa2e2713bb01d8a23747d2f8e89f0a4,57896c87924d6fd005912240f8e436078ef931ecaf0c75ad4c27565d586395ee,0
21,25,8,1.9155062437057495,2.0079755783081055,21.967329025268555,-19.95935344696045,-20.051822781562805,20.051822781562805,0.006036533618290135,4.3648843236073045,11.690074475379491,True,2424986,a4ddf9fbb61e537db911c8631caaf9a1e342bcdc89c20b37ca0dee3c9e104289,7b016886f63a7a0672a8164cfb8182feffa2e2713bb01d8a23747d2f8e89f0a4,a56b53abe9c9b3faa9800e16bce90831527f84c6287453e65a90c3a6711f4635,0
21,25,9,1.9155062437057495,1.8571202754974365,37.69501876831055,-35.83789849281311,-35.7795125246048,35.7795125246048,0.004080517450385465,5.3621432865643595,11.885415867318377,True,2424986,a4ddf9fbb61e537db911c8631caaf9a1e342bcdc89c20b37ca0dee3c9e104289,7b016886f63a7a0672a8164cfb8182feffa2e2713bb01d8a23747d2f8e89f0a4,9cd959e9b55846ebf73af23db50e89c2de38e8251b4bd8100fe74136086a9f59,0
