protocol,candidate,functional_percentile,G_quality_percentile,A_quality_percentile,adapted_loss_quality_percentile,Q_int_pearson,Q_int_spearman,pair_overlap,exact_assignment_fraction,margin_per_K,margin_relative_Q_std,mean_probe_seconds,std_probe_seconds,relative_time_vs_P0,peak_gpu_memory_bytes
P0_32_32,Full,87.43333333333334,91.07777777777778,85.61111111111111,85.61111111111111,0.4928166442340991,0.49570023669033564,0.25555555555555554,0.0,0.009304890205725336,0.031021407125616778,44.43741206666649,1.2410297699017125,1.0,263629824
P0_32_32,G,91.69814814814816,95.18333333333334,89.95555555555556,89.95555555555556,0.5540661100881477,0.552036536987032,0.2888888888888889,0.0,0.002272201820457684,0.02272201820457884,44.43741206666649,1.2410297699017125,1.0,263629824
P1_32_64,Full,90.21481481481482,92.9888888888889,88.82777777777777,88.82777777777777,0.5030230963907494,0.5137073707370736,0.1888888888888889,0.0,0.009788038875696457,0.0327809644818875,45.283189666666054,1.1296722739182359,1.0190330075642278,264023040
P1_32_64,G,92.47777777777777,94.39999999999999,91.51666666666667,91.51666666666667,0.5675688867040946,0.5719931993199319,0.21111111111111114,0.0,0.0033524469502370148,0.03352446950237589,45.283189666666054,1.1296722739182359,1.0190330075642278,264023040
P2_64_32,Full,96.8851851851852,98.05555555555554,96.3,96.3,0.7137903067218853,0.6890915758242491,0.41111111111111115,0.0,0.010479619621868618,0.034838326290089594,45.9609429222247,0.8467283089667382,1.0342848690934694,402227712
P2_64_32,G,98.09814814814814,98.82777777777777,97.73333333333333,97.73333333333333,0.7623521914854208,0.7268020135346867,0.48888888888888893,0.0,0.0019894261884213925,0.019894261884219753,45.9609429222247,0.8467283089667382,1.0342848690934694,402227712
P3_64_64,Full,96.93333333333334,98.36666666666666,96.21666666666665,96.21666666666665,0.718083823833473,0.7087188718871887,0.4000000000000001,0.0,0.011161247177538117,0.03720579643061873,47.02289958889176,1.0214107157908667,1.0581826754075245,402096640
P3_64_64,G,99.02962962962964,99.47777777777779,98.80555555555556,98.80555555555556,0.7685618049345293,0.7482414908157481,0.43333333333333335,0.0,0.004378900591151248,0.04378900591152587,47.02289958889176,1.0214107157908667,1.0581826754075245,402096640
AVG2_P0_32_32,Full,92.69999999999999,97.61111111111111,90.24444444444444,90.24444444444444,0.5724658431948811,0.5503243657699104,0.2777777777777778,0.0,0.008809641531371357,0.029305206758796037,88.87482413333298,2.482059539803425,2.0,263629824
AVG2_P0_32_32,G,95.91481481481482,98.69999999999999,94.52222222222223,94.52222222222223,0.6327728638640658,0.6032363236323631,0.36666666666666664,0.0,0.003170188858242352,0.03170188858243953,88.87482413333298,2.482059539803425,2.0,263629824
