protocol,candidate,round,source_replicate,heldout_replicate,functional_percentile,heldout_G,baseline_G,G_vs_baseline,random_G_mean,random_G_std,random_G_p90,random_G_p95,G_quality_percentile,heldout_A,baseline_A,A_vs_baseline,random_A_mean,random_A_std,random_A_p90,random_A_p95,A_quality_percentile,heldout_adapted_loss,baseline_adapted_loss,adapted_loss_vs_baseline,random_adapted_loss_mean,random_adapted_loss_std,random_adapted_loss_p90,random_adapted_loss_p95,adapted_loss_quality_percentile,source_replicates
P0_32_32,Full,1,0,1,98.53333333333335,0.20986150503158568,0.057305097579956055,0.15255640745162963,0.038935121524333954,0.06861102511652183,0.12736958861351014,0.14618527710437773,99.6,0.12452805042266846,0.024266541004180908,0.10026150941848755,0.016895333647727967,0.0570946090461479,0.09087414979934692,0.10380568385124203,98.0,2.494400954246521,2.5946624636650086,-0.10026150941848755,2.6020336710214615,0.0570946090461479,2.6818575954437254,2.6989065259695053,98.0,
P0_32_32,Full,1,0,2,78.56666666666666,0.7810779213905334,0.761026269197464,0.02005165219306948,0.6971853922724724,0.042617816179518854,0.7546285223960877,0.7681331986188888,97.7,0.6926197052001953,0.7203345835208893,-0.02771487832069397,0.6772109715223313,0.03040903186850289,0.7196391022205353,0.7296484735608101,69.0,1.8929387331008911,1.8652238547801971,0.02771487832069397,1.908347466778755,0.030409031868502898,1.9476818084716796,1.9543427312374115,69.0,
P0_32_32,Full,1,1,0,82.63333333333334,0.34678839445114135,0.3167194604873657,0.030068933963775635,0.24684131360054015,0.06411252764753751,0.33087656497955326,0.35001243770122525,94.1,0.2601499199867249,0.2728340983390808,-0.012684178352355913,0.21851515978574754,0.05116211437396774,0.2842188024520874,0.29889136016368867,76.9,2.3482428431510924,2.3355586647987367,0.01268417835235569,2.38987760335207,0.051162114373967754,2.460702724456787,2.474796543717384,76.9,
P0_32_32,Full,1,1,2,92.8,0.7916978180408478,0.761026269197464,0.030671548843383856,0.6971853922724724,0.042617816179518854,0.7546285223960877,0.7681331986188888,99.0,0.7190001428127288,0.7203345835208893,-0.001334440708160467,0.6772109715223313,0.03040903186850289,0.7196391022205353,0.7296484735608101,89.7,1.8665582954883575,1.8652238547801971,0.001334440708160356,1.908347466778755,0.030409031868502898,1.9476818084716796,1.9543427312374115,89.7,
P0_32_32,Full,1,2,0,45.166666666666664,0.27001031637191775,0.3167194604873657,-0.046709144115447965,0.24684131360054015,0.06411252764753751,0.33087656497955326,0.35001243770122525,61.1,0.200432288646698,0.2728340983390808,-0.0724018096923828,0.21851515978574754,0.05116211437396774,0.2842188024520874,0.29889136016368867,37.2,2.4079604744911194,2.3355586647987367,0.07240180969238263,2.38987760335207,0.051162114373967754,2.460702724456787,2.474796543717384,37.2,
P0_32_32,Full,1,2,1,58.86666666666667,0.08039286136627197,0.057305097579956055,0.023087763786315912,0.038935121524333954,0.06861102511652183,0.12736958861351014,0.14618527710437773,70.6,0.02336282730102539,0.024266541004180908,-0.0009037137031555169,0.016895333647727967,0.0570946090461479,0.09087414979934692,0.10380568385124203,53.0,2.595566177368164,2.5946624636650086,0.0009037137031553399,2.6020336710214615,0.0570946090461479,2.6818575954437254,2.6989065259695053,53.0,
P0_32_32,Full,20,0,1,99.40000000000002,-65.43219478130341,-84.65773347616195,19.225538694858542,-83.33693975942136,8.045603248339312,-73.10587053656579,-70.9787590020895,99.4,-65.4603742480278,-84.72445286512375,19.264078617095947,-83.4599766633034,8.067822506461054,-73.22571493864059,-71.03749185323716,99.4,67.24440212249756,86.50848073959351,-19.264078617095947,85.24400453777315,8.067822506461054,95.77296709060668,98.69053413391114,99.4,
P0_32_32,Full,20,0,2,98.40000000000002,-62.59243905544281,-79.80022386312484,17.20778480768203,-80.00175986239911,8.848611052425055,-67.50015456914902,-65.18628132581712,98.4,-62.67098101377487,-79.81788481473923,17.14690380096436,-80.12157476472855,8.861783148812012,-67.61663937330246,-65.33105446577073,98.4,64.5220989227295,81.66900272369385,-17.146903800964353,81.97269267368317,8.861783148812012,93.6046788406372,96.58418687820435,98.4,
P0_32_32,Full,20,1,0,96.23333333333333,-48.2239389538765,-59.83288290500641,11.608943951129909,-61.50284260206223,8.30371477883195,-51.420990079641335,-48.93104357004166,96.3,-48.37630993127823,-59.91906772851944,11.542757797241208,-61.627574374866484,8.316782025733442,-51.54962126016617,-49.04657447099686,96.2,50.15823974609375,61.700997543334964,-11.542757797241215,63.40950418968201,8.316782025733442,74.41431518554687,78.6239751815796,96.2,
P0_32_32,Full,20,1,2,98.09999999999998,-63.1219185590744,-79.80022386312484,16.67830530405044,-80.00175986239911,8.848611052425055,-67.50015456914902,-65.18628132581712,98.1,-63.241285502910614,-79.81788481473923,16.576599311828616,-80.12157476472855,8.861783148812012,-67.61663937330246,-65.33105446577073,98.1,65.09240341186523,81.66900272369385,-16.576599311828616,81.97269267368317,8.861783148812012,93.6046788406372,96.58418687820435,98.1,
