candidate,round,cross_vs_baseline,cross_random_percentile,heldout_G_vs_baseline,heldout_A_vs_baseline,adapted_loss_vs_baseline,heldout_G_quality_percentile,heldout_A_quality_percentile,adapted_loss_quality_percentile,functional_quality_percentile
Full,1,0.9153648323563935,85.16666666666667,0.0278775970141093,-0.015313581625620548,0.015313581625620465,86.25,63.54999999999999,63.54999999999999,71.11666666666666
Full,5,6.065168772004442,92.5,11.148076511919498,11.200803317129612,-11.200803317129612,89.71666666666665,89.71666666666665,89.71666666666665,89.71666666666665
Full,10,8.654551103794313,89.13333333333333,18.187635425726572,18.22351268132528,-18.223512681325275,89.43333333333332,89.55,89.55,89.5111111111111
Full,20,10.567000126863705,98.7,17.594170093536373,17.579149039586383,-17.579149039586383,98.48333333333333,98.5,98.5,98.49444444444445
Full,40,5.426146347676505,89.78333333333335,33.13028929829597,33.10888659159343,-33.108886591593425,88.43333333333332,88.36666666666667,88.36666666666667,88.3888888888889
G,1,0.4368984086921812,89.51666666666667,0.035288909077644356,-0.012314406037330644,0.012314406037330658,89.51666666666667,66.85000000000001,66.85000000000001,74.40555555555557
G,5,2.100282486424761,90.0,11.358324951430163,11.4442317828536,-11.4442317828536,90.0,90.13333333333333,90.13333333333333,90.08888888888889
G,10,2.77787917561716,86.51666666666667,17.144665485620504,17.190151405334475,-17.190151405334475,86.51666666666667,86.71666666666665,86.71666666666665,86.64999999999999
G,20,3.279556553053446,96.64999999999999,16.708017818133033,16.714432191848754,-16.714432191848754,96.64999999999999,96.64999999999999,96.64999999999999,96.64999999999999
G,40,1.843417030771836,88.18333333333334,34.28776958187421,34.28220189412436,-34.282201894124356,88.18333333333334,88.14999999999999,88.14999999999999,88.1611111111111
A,1,-0.32815654837064595,55.76666666666666,-0.01573608219623562,-0.028365255395571397,0.02836525539557133,67.31666666666668,55.76666666666666,55.76666666666666,59.61666666666667
A,5,2.114894912225997,90.13333333333333,11.358324951430163,11.4442317828536,-11.4442317828536,90.0,90.13333333333333,90.13333333333333,90.08888888888889
A,10,2.7844785915985084,86.71666666666665,17.144665485620504,17.190151405334475,-17.190151405334475,86.51666666666667,86.71666666666665,86.71666666666665,86.64999999999999
A,20,3.3684239615148033,97.08333333333333,17.290570247173303,17.300180705388385,-17.300180705388385,97.06666666666666,97.08333333333333,97.08333333333333,97.07777777777777
A,40,1.8421879703142763,88.14999999999999,34.28776958187421,34.28220189412436,-34.282201894124356,88.18333333333334,88.14999999999999,88.14999999999999,88.1611111111111
C,1,4.390564735731534,99.86666666666667,0.02713395357131961,0.003377987941106155,-0.0033779879411062197,86.8,73.8,73.8,78.13333333333333
C,5,3.603574410902583,99.93333333333332,-1.3793938040733333,-1.4373526891072583,1.4373526891072597,32.31666666666666,31.7,31.7,31.905555555555555
C,10,5.039076652616251,98.36666666666667,7.823547198375071,7.632567469278975,-7.632567469278972,55.650000000000006,55.13333333333335,55.13333333333335,55.30555555555557
C,20,8.746880160846985,98.09999999999998,-8.709234352906549,-8.869173773129782,8.86917377312978,20.566666666666666,20.349999999999998,20.349999999999998,20.42222222222222
C,40,3.486377000491055,99.01666666666665,11.74295271039009,11.70366341272991,-11.7036634127299,56.71666666666666,56.633333333333326,56.633333333333326,56.661111111111104
G+C,1,1.4633205547380006,99.23333333333335,0.0389953136444092,-0.00882854859034222,0.008828548590342175,91.28333333333335,69.13333333333333,69.13333333333333,76.51666666666667
G+C,5,2.746132444505225,99.89999999999999,12.983085542917252,12.967793486515681,-12.96779348651568,96.46666666666668,96.33333333333333,96.33333333333333,96.37777777777778
G+C,10,2.8939369696962927,81.73333333333333,14.183295508225763,14.091717982292176,-14.091717982292172,77.7,77.64999999999999,77.64999999999999,77.66666666666667
G+C,20,3.5910899552816065,95.01666666666667,11.419611028830209,11.378895648320515,-11.378895648320514,86.53333333333335,86.46666666666668,86.46666666666668,86.4888888888889
G+C,40,2.1935356590431905,96.3,23.84996203184127,23.81118927001954,-23.81118927001954,77.71666666666665,77.64999999999999,77.64999999999999,77.67222222222222
A+C,1,0.8241799687596455,98.15000000000002,0.035015849272410096,-0.01176970005035402,0.011769700050353974,90.64999999999999,66.39999999999999,66.39999999999999,74.48333333333333
A+C,5,2.157650167604841,96.31666666666666,9.663360923528671,9.672318226099014,-9.672318226099014,86.2,85.98333333333333,85.98333333333333,86.05555555555556
A+C,10,2.7460686168951827,81.43333333333332,14.177947551012045,14.103323781490326,-14.103323781490323,77.68333333333332,77.64999999999999,77.64999999999999,77.6611111111111
A+C,20,3.996113266428179,96.91666666666669,13.823500458399451,13.775631984074911,-13.775631984074908,91.43333333333334,91.35000000000001,91.35000000000001,91.3777777777778
A+C,40,2.190648857709881,96.28333333333335,23.84996203184127,23.81118927001954,-23.81118927001954,77.71666666666665,77.64999999999999,77.64999999999999,77.67222222222222
G+A,1,-0.11482896503802224,73.78333333333332,0.010319482286771181,-0.022620345155398066,0.022620345155397976,80.39999999999999,60.116666666666674,60.116666666666674,66.87777777777778
G+A,5,4.215177398650758,90.08333333333333,11.358324951430163,11.4442317828536,-11.4442317828536,90.0,90.13333333333333,90.13333333333333,90.08888888888889
G+A,10,5.562357767215669,86.60000000000001,17.144665485620504,17.190151405334475,-17.190151405334475,86.51666666666667,86.71666666666665,86.71666666666665,86.64999999999999
G+A,20,6.553417962822846,96.64999999999999,16.708017818133033,16.714432191848754,-16.714432191848754,96.64999999999999,96.64999999999999,96.64999999999999,96.64999999999999
G+A,40,3.685605001086112,88.14999999999999,34.28776958187421,34.28220189412436,-34.282201894124356,88.18333333333334,88.14999999999999,88.14999999999999,88.1611111111111
