candidate,round,replicate,best_score,second_best_score,absolute_margin,margin_per_K,Q_std,margin_relative_to_Q_std,best_assignment,second_assignment
C,40,1,8.512790785219677,8.442957115343367,0.06983366987631001,0.006983366987631001,0.99999999973501,0.06983366989481524,"[9, 0, 4, 1, 2, 5, 7, 8, 6, 3]","[9, 0, 4, 6, 2, 5, 7, 8, 1, 3]"
G+C,40,1,3.353026621731507,3.3417123071911385,0.011314314540368464,0.0011314314540368463,1.0170775770392575,0.011124337804501368,"[4, 9, 0, 5, 2, 1, 7, 8, 6, 3]","[4, 9, 0, 1, 2, 5, 7, 8, 6, 3]"
A+C,40,1,3.3504067953800556,3.3377350762550044,0.012671719125051162,0.0012671719125051163,1.0169428872262363,0.012460600574742131,"[4, 9, 0, 5, 2, 1, 7, 8, 6, 3]","[4, 9, 0, 1, 2, 5, 7, 8, 6, 3]"
G+A,40,1,4.774605893963813,4.743625090110867,0.030980803852946437,0.003098080385294644,1.9999997830548026,0.015490403606757552,"[4, 5, 0, 9, 8, 1, 6, 2, 3, 7]","[4, 2, 0, 9, 8, 1, 6, 5, 3, 7]"
Full,40,2,8.959478428833465,8.889351957683362,0.07012647115010395,0.007012647115010396,2.957304044791828,0.023712973061936322,"[5, 2, 0, 9, 8, 1, 7, 4, 6, 3]","[0, 2, 5, 9, 8, 1, 7, 4, 6, 3]"
G,40,2,3.0765909916335037,3.0448296597532374,0.03176133188026631,0.003176133188026631,0.9999999999999922,0.03176133188026656,"[5, 2, 8, 9, 0, 1, 7, 4, 6, 3]","[5, 2, 8, 0, 9, 1, 7, 4, 6, 3]"
A,40,2,3.0773058356956917,3.043044196129555,0.034261639566136814,0.0034261639566136814,0.9999999999999923,0.03426163956613708,"[5, 2, 8, 9, 0, 1, 7, 4, 6, 3]","[5, 2, 8, 0, 9, 1, 7, 4, 6, 3]"
C,40,2,8.047136313924787,8.0033900380155,0.043746275909287036,0.004374627590928703,0.9999999997256362,0.04374627592128943,"[0, 9, 7, 5, 6, 2, 8, 1, 4, 3]","[0, 9, 7, 6, 5, 2, 8, 1, 4, 3]"
G+C,40,2,3.653092558479824,3.602146407886324,0.05094615059350005,0.005094615059350005,0.9783704094265703,0.052072456507919064,"[0, 9, 8, 1, 5, 2, 7, 4, 6, 3]","[5, 9, 0, 1, 8, 2, 7, 4, 6, 3]"
A+C,40,2,3.6479936333359,3.5959370628497926,0.05205657048610757,0.005205657048610757,0.978121791147551,0.053220949535367996,"[0, 9, 8, 1, 5, 2, 7, 4, 6, 3]","[5, 9, 0, 1, 8, 2, 7, 4, 6, 3]"
G+A,40,2,6.153896827329195,6.087873855882792,0.06602297144640268,0.006602297144640268,1.9999992598244363,0.033011497940353386,"[5, 2, 8, 9, 0, 1, 7, 4, 6, 3]","[5, 2, 8, 0, 9, 1, 7, 4, 6, 3]"
