candidate,Q_int_pearson,Q_int_spearman,pair_overlap,exact_assignment_fraction,cross_vs_baseline,cross_vs_baseline_random_std,cross_random_percentile,cross_above_baseline_fraction,cross_above_random_p90_fraction,heldout_G_vs_baseline,heldout_A_vs_baseline,adapted_loss_vs_baseline,heldout_G_quality_percentile,heldout_A_quality_percentile,adapted_loss_quality_percentile,functional_quality_percentile,margin,margin_per_K,margin_relative_to_q_std,rank_cross_random_percentile,rank_cross_vs_baseline_random_std,rank_functional_quality_percentile,rank_reliability_index,rank_pair_overlap,rank_margin_relative_to_q_std,rank_sum,score_generalization_rank,functional_recovery_rank,diagnostic_consensus_rank,method_rank
Full,0.46023911644252685,0.47424502450245026,0.24666666666666665,0.0,6.325646236539072,1.8100996436270627,91.05666666666667,0.9,0.6666666666666666,16.017609785298507,16.01940760960182,-16.019407609601817,90.46333333333334,85.93666666666668,85.93666666666668,87.44555555555556,0.09038736536829806,0.009038736536829807,0.030051901497008576,4.0,5.0,1.0,6.0,4.0,4.0,24.0,4.0,1.0,5,1
G,0.5021564078976888,0.5053321332133214,0.22666666666666668,0.0,2.0876067309118773,1.8158726080999739,90.17333333333335,0.9333333333333333,0.6666666666666666,15.906813349227114,15.923740573624771,-15.923740573624771,90.17333333333335,85.7,85.7,87.1911111111111,0.03590857642829214,0.003590857642829214,0.03590857642830532,5.0,4.0,2.0,4.0,5.0,3.0,23.0,5.0,2.0,3,2
G+A,0.46924583040828455,0.4732001200120012,0.21333333333333335,0.0,3.980345832947473,1.648928128257853,87.05333333333334,0.9,0.5666666666666667,15.901819463868938,15.92167938580116,-15.92167938580116,88.35,84.35333333333334,84.35333333333334,85.68555555555557,0.05746953259847878,0.005746953259847878,0.028737849764941335,6.0,6.0,3.0,5.0,6.0,7.0,33.0,6.0,3.0,6,3
A,0.43322762031419704,0.4397639763976398,0.21333333333333332,0.0,1.9563657774565877,1.544094150903058,83.57,0.8666666666666667,0.5333333333333333,16.01311883678039,16.03768010646105,-16.03768010646105,85.81666666666666,83.57,83.57,84.3188888888889,0.030020448669533403,0.0030020448669533396,0.030020448669538877,7.0,7.0,4.0,7.0,7.0,5.0,37.0,7.0,4.0,7,4
G+C,0.5385735869832701,0.5409380938093808,0.28,0.0,2.577603116652863,2.189076925974109,94.43666666666668,0.9666666666666667,0.8666666666666667,12.494989885091778,12.448153567711513,-12.448153567711518,85.94,81.44666666666667,81.44666666666667,82.94444444444444,0.0391242020340887,0.00391242020340887,0.03671976234029414,2.0,2.0,5.0,2.0,2.0,2.0,15.0,2.0,5.0,2,5
A+C,0.5142101103507247,0.5176789678967898,0.26666666666666666,0.0,2.3829321754795463,2.0177265023019304,93.82000000000001,0.9333333333333333,0.8,12.309957362810765,12.270138712326688,-12.270138712326688,84.73666666666666,79.80666666666667,79.80666666666667,81.45,0.030940497790100264,0.003094049779010026,0.029368932943043952,3.0,3.0,6.0,3.0,3.0,6.0,24.0,3.0,6.0,4,6
C,0.7502711036618758,0.7385546554655463,0.2933333333333333,0.0,5.053294592117682,2.316486937245144,99.05666666666669,1.0,1.0,1.9010011410713197,1.8066164815425898,-1.8066164815425878,50.410000000000004,47.52333333333333,47.52333333333333,48.48555555555556,0.07358391118693965,0.007358391118693964,0.07358391120428005,1.0,1.0,7.0,1.0,1.0,1.0,12.0,1.0,7.0,1,7
